@RELATION cellcycle0.names

@ATTRIBUTE alpha21 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE alpha28 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_80 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_140 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_20 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_80 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE elu210 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE class {R.01.04, R.43.01.03.09, R.32.01, R.20.01.17, R.12.04.01, R.14.10, R.20.09.07.03, R.16.03.03, R.10.03.01.01.11, R.42.01, R.01.05, R.20.03, R.01.03.01.03, R.10.01.09.05, R.11.02.03.04, R.12.10, R.01.05.25, R.16.19.03, R.11.04.03.01, R.34.11.03.07, R.42.04.05, R.10.01.03.05, R.14.04, R.16.01, R.43.01.03.05, R.42.16, R.12.01.01, R.01.07.01, R.20.09.07, R.32.07, R.01.03.07, R.01.05.02.07, R.01.06, R.20.09.04, R.20.01.13, R.01.06.02.01, R.20.01.27, R.11.06.02, R.14.07.02, R.10.01.05.01, R.20.09.13, R.14.07.02.02, R.01.01.06.06.01.03, R.12.07, R.14.13, R.10.03.01, R.10, R.16.03.01, R.42.04, R.34.01.01.01, R.01.01, R.02.01, R.11, R.20.01.01.01, R.01.05.13.01, R.20.01.03, R.01.20.15, R.11.04.01, R.01.03.01, R.14.07.11, R.20.09.18, R.42.27.03, R.10.03.01.01.09, R.20.01.07, R.42.04.03, R.20.01.15, R.01.01.06.04.02, R.14.07.04, R.20.09.16, R.14.01, R.11.02.03.04.03, R.01.06.06.11, R.14.13.01.01, R.14.07.09, R.10.03.02, R.01.07, R.20.01.10, R.01.02, R.99, R.01.01.06.05, R.32.01.01, R.10.01.05.03, R.10.03.04.03, R.01.01.09.06.01, R.14.13.01, R.01.03.04.03, R.02.13.03, R.01.20.19, R.01.05.09.04, R.11.04.03.05, R.14.07.03, R.10.01.03, R.42.25, R.32, R.14.07.05, R.42.10.03, R.02.19, R.10.01.05.03.01, R.01.03.04, R.20.09.01, R.02.13, R.11.02.03.01.04, R.02.16.01, R.11.04.02, R.12.04.03, R.18.02.01, R.16.19, R.01.06.05, R.12, R.10.03.01.03, R.16.21.07, R.02.10, R.01.01.11.03.01, R.34.01.01.03, R.20.09.07.27, R.12.01, R.42.08, R.10.03.04.05, R.20.03.01.01, R.11.02.03.04.01, R.20.01.23, R.01.01.03.02.01, R.32.01.09, R.34.11.03.13, R.01.04.04, R.14.07, R.14.07.11.01, R.32.01.03, R.01.06.02.02, R.40.01, R.01.01.09.04.01, R.42.19, R.11.04.03, R.01.01.09.07.01, R.01.03.10, R.02.16, R.01.06.06, R.01.02.07, R.01.01.09.05, R.32.07.03, R.20.01.01.01.01, R.34.07.01, R.20.01.21, R.34.01.01, R.01.01.11.04.01, R.20.01.03.01, R.30.01, R.14, R.01.01.13, R.01.01.06.05.01, R.11.02.03.01.01, R.02.04, R.01.01.06.02.01, R.12.04, R.20.01.25, R.38, R.01.01.03.05.01, R.40.10.02.02.01, R.14.07.01, R.01.02.02.09, R.20.09.07.25, R.20.01.01.07.07, R.01.03.16.01, R.40.20, R.10.03.03, R.01.06.10, R.01.03.01.01, R.02.45, R.14.13.04, R.20.01.01.07, R.01.01.06.05.01.01, R.20.09.18.09.01, R.10.01.05, R.01.01.09.02, R.30.01.05.05.01, R.11.04.03.03, R.02.01.03, R.01.01.09.03.01, R.18.02.09, R.42.10, R.20.09.07.05, R.20.01.03.03, R.16.21.17, R.01.03.04.01, R.01.05.06.07, R.11.02.01, R.18.02.01.01.01, R.01.01.03.03.01}

@DATA
6,9,11,6,8,14,9,R.20.09.13
9,9,11,7,13,12,10,R.20.09.13
7,11,14,6,9,13,11,R.20.09.13
9,7,12,7,6,11,17,R.42.16
5,12,14,6,8,17,7,R.42.16
8,11,12,7,10,12,11,R.42.16
6,9,12,7,7,13,9,R.42.16
6,12,9,4,13,11,10,R.11.04.01
6,11,11,4,10,14,11,R.11.04.01
7,10,13,5,8,14,7,R.11.04.01
5,11,8,8,9,13,10,R.11.04.01
9,15,12,7,11,13,14,R.01.04
6,11,10,4,10,13,11,R.01.04
5,10,9,6,8,12,13,R.01.04
6,9,14,6,11,14,12,R.01.04
6,11,10,6,17,5,9,R.01.04
7,12,7,8,15,8,15,R.01.04
7,7,12,5,8,11,10,R.01.04
13,12,11,12,14,10,13,R.01.04
7,10,16,6,9,13,13,R.01.04
9,7,14,8,10,13,11,R.01.04
10,12,5,3,8,12,4,R.01.04
7,12,10,6,9,9,8,R.01.04
6,9,15,9,9,12,11,R.01.04
7,13,13,6,12,9,9,R.01.04
5,12,13,10,7,12,8,R.01.04
5,10,11,7,9,11,13,R.01.04
7,13,14,6,12,10,10,R.01.04
6,10,12,6,8,16,10,R.01.04
8,12,12,6,12,13,11,R.01.04
8,10,13,5,6,9,7,R.01.04
6,6,12,7,9,15,9,R.01.04
13,14,12,7,10,10,12,R.01.04
5,12,12,6,5,14,11,R.01.04
6,11,14,13,9,12,10,R.01.04
8,11,12,8,12,16,12,R.01.04
7,8,14,6,8,13,7,R.01.04
6,10,12,7,10,10,9,R.01.04
9,10,11,7,16,8,12,R.01.04
5,11,12,7,10,13,8,R.01.04
7,7,14,7,10,10,12,R.01.04
6,8,10,7,9,13,8,R.10.01.05.01
8,9,13,7,9,13,11,R.10.01.05.01
6,8,13,7,8,16,10,R.10.01.05.01
7,12,13,7,17,11,10,R.10.01.05.01
0,10,11,6,10,12,13,R.10.01.05.01
6,8,16,8,10,11,16,R.11.02.03.04
7,10,9,7,11,12,14,R.11.02.03.04
10,12,12,8,11,12,12,R.11.02.03.04
7,10,14,2,9,14,9,R.11.02.03.04
7,10,13,6,6,14,11,R.11.02.03.04
6,12,12,6,10,12,9,R.11.02.03.04
2,10,14,8,11,10,13,R.11.02.03.04
8,10,13,7,10,13,10,R.11.02.03.04
6,13,12,7,10,11,11,R.11.02.03.04
4,10,15,5,12,11,11,R.11.02.03.04
7,6,12,7,8,13,10,R.11.02.03.04
7,8,11,4,10,12,12,R.11.02.03.04
7,10,14,8,13,10,9,R.11.02.03.04
7,7,13,10,7,13,7,R.11.02.03.04
5,12,12,4,8,13,12,R.11.02.03.04
7,5,11,8,10,11,10,R.11.02.03.04
6,8,10,6,10,10,12,R.11.02.03.04
7,9,11,7,9,15,12,R.11.02.03.04
6,10,13,6,9,13,11,R.11.02.03.04
7,8,11,6,10,10,11,R.11.02.03.04
6,12,12,8,9,12,9,R.11.02.03.04
7,11,12,6,10,14,10,R.11.02.03.04
6,10,11,8,11,12,11,R.11.02.03.04
6,10,14,6,2,19,10,R.11.02.03.04
6,11,14,5,8,11,12,R.11.02.03.04
8,10,14,6,15,11,12,R.11.02.03.04
6,12,12,6,12,14,10,R.11.02.03.04
6,12,10,4,10,11,12,R.11.02.03.04
5,10,12,7,11,13,11,R.11.02.03.04
7,9,12,8,9,14,10,R.11.02.03.04
5,11,12,4,10,13,11,R.11.02.03.04
7,10,9,5,9,11,10,R.11.02.03.04
4,12,12,5,10,13,10,R.11.02.03.04
6,8,12,6,11,11,7,R.11.02.03.04
3,11,12,7,6,11,18,R.11.02.03.04
5,7,12,7,13,10,10,R.11.02.03.04
15,14,9,12,19,11,11,R.11.02.03.04
7,12,10,6,9,15,10,R.11.02.03.04
5,9,12,5,5,14,11,R.11.02.03.04
7,8,17,11,11,10,14,R.12.01.01
3,11,14,8,10,11,12,R.12.01.01
4,9,15,8,13,9,16,R.12.01.01
9,10,13,6,10,10,10,R.12.01.01
4,11,14,8,10,6,14,R.12.01.01
6,10,12,6,13,11,14,R.12.01.01
6,11,12,9,13,11,13,R.12.01.01
6,9,8,14,13,9,15,R.12.01.01
7,11,12,7,6,12,11,R.12.01.01
6,8,8,7,12,11,11,R.12.01.01
7,7,14,10,8,13,11,R.12.01.01
6,9,9,9,12,11,12,R.12.01.01
4,11,8,6,8,12,16,R.12.01.01
7,9,16,8,12,9,11,R.12.01.01
6,8,13,7,13,7,14,R.12.01.01
5,7,12,8,11,7,14,R.12.01.01
6,9,16,9,11,10,13,R.12.01.01
4,10,12,7,14,10,13,R.12.01.01
4,9,13,7,10,8,13,R.12.01.01
4,9,11,8,7,10,11,R.12.01.01
6,9,16,10,13,12,13,R.12.01.01
18,19,11,8,9,14,12,R.01.05
7,13,12,8,8,13,11,R.01.05
10,6,13,5,10,12,7,R.01.05
7,11,14,12,14,10,12,R.01.05
8,11,13,9,6,19,16,R.01.05
7,10,14,9,3,15,12,R.01.05
9,11,10,8,7,14,9,R.01.05
7,9,12,7,10,9,12,R.01.05
7,11,5,8,9,11,16,R.01.05
6,11,11,4,11,12,12,R.01.05
8,8,12,11,11,11,14,R.01.05
7,11,13,10,8,12,11,R.01.05
7,15,18,7,12,9,19,R.01.05
7,11,12,7,11,13,12,R.01.05
7,11,11,6,10,12,11,R.01.05
7,10,11,9,9,14,10,R.01.05
4,9,11,4,9,12,10,R.34.01.01.01
6,10,12,9,8,12,13,R.34.01.01.01
6,11,13,8,10,11,10,R.34.01.01.01
7,8,14,6,9,16,14,R.34.01.01.01
8,8,10,8,8,14,12,R.01.05.02.07
7,12,14,9,10,8,10,R.01.05.02.07
12,10,13,8,11,11,6,R.01.05.02.07
9,10,13,8,9,14,13,R.01.05.02.07
7,10,11,8,5,13,10,R.43.01.03.09
7,10,12,8,10,13,10,R.43.01.03.09
7,9,5,12,9,10,9,R.43.01.03.09
8,8,15,10,11,12,10,R.43.01.03.09
10,14,12,9,12,10,10,R.43.01.03.09
5,12,14,12,9,14,10,R.01.05.25
4,10,9,10,5,8,9,R.01.05.25
7,12,13,5,13,9,9,R.20.09.01
5,13,14,8,11,13,10,R.40.01
3,11,12,5,11,13,11,R.30.01
5,7,13,8,13,9,13,R.16.03.01
7,9,10,6,11,10,14,R.16.03.01
3,11,13,9,12,12,8,R.16.03.01
9,8,10,6,16,12,7,R.16.03.01
1,11,7,5,11,10,11,R.16.03.01
15,15,10,11,14,10,14,R.16.03.01
5,11,12,7,11,15,14,R.16.03.01
6,10,15,8,11,12,10,R.16.03.01
6,6,14,9,10,15,10,R.01.07.01
7,8,13,7,7,14,13,R.01.07.01
6,12,12,7,11,12,10,R.01.07.01
12,12,13,7,12,10,13,R.01.07.01
7,10,9,7,8,12,11,R.01.07.01
7,9,13,7,11,12,10,R.01.07.01
