@RELATION cellcycle0.names

@ATTRIBUTE cdc15_160 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc15_270 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE cdc28_90 {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}
@ATTRIBUTE class {R.01.04, R.43.01.03.09, R.32.01, R.20.01.17, R.12.04.01, R.14.10, R.20.09.07.03, R.16.03.03, R.10.03.01.01.11, R.42.01, R.01.05, R.20.03, R.01.03.01.03, R.10.01.09.05, R.11.02.03.04, R.12.10, R.01.05.25, R.16.19.03, R.11.04.03.01, R.34.11.03.07, R.42.04.05, R.10.01.03.05, R.14.04, R.16.01, R.43.01.03.05, R.42.16, R.12.01.01, R.01.07.01, R.20.09.07, R.32.07, R.01.03.07, R.01.05.02.07, R.01.06, R.20.09.04, R.20.01.13, R.01.06.02.01, R.20.01.27, R.11.06.02, R.14.07.02, R.10.01.05.01, R.20.09.13, R.14.07.02.02, R.01.01.06.06.01.03, R.12.07, R.14.13, R.10.03.01, R.10, R.16.03.01, R.42.04, R.34.01.01.01, R.01.01, R.02.01, R.11, R.20.01.01.01, R.01.05.13.01, R.20.01.03, R.01.20.15, R.11.04.01, R.01.03.01, R.14.07.11, R.20.09.18, R.42.27.03, R.10.03.01.01.09, R.20.01.07, R.42.04.03, R.20.01.15, R.01.01.06.04.02, R.14.07.04, R.20.09.16, R.14.01, R.11.02.03.04.03, R.01.06.06.11, R.14.13.01.01, R.14.07.09, R.10.03.02, R.01.07, R.20.01.10, R.01.02, R.99, R.01.01.06.05, R.32.01.01, R.10.01.05.03, R.10.03.04.03, R.01.01.09.06.01, R.14.13.01, R.01.03.04.03, R.02.13.03, R.01.20.19, R.01.05.09.04, R.11.04.03.05, R.14.07.03, R.10.01.03, R.42.25, R.32, R.14.07.05, R.42.10.03, R.02.19, R.10.01.05.03.01, R.01.03.04, R.20.09.01, R.02.13, R.11.02.03.01.04, R.02.16.01, R.11.04.02, R.12.04.03, R.18.02.01, R.16.19, R.01.06.05, R.12, R.10.03.01.03, R.16.21.07, R.02.10, R.01.01.11.03.01, R.34.01.01.03, R.20.09.07.27, R.12.01, R.42.08, R.10.03.04.05, R.20.03.01.01, R.11.02.03.04.01, R.20.01.23, R.01.01.03.02.01, R.32.01.09, R.34.11.03.13, R.01.04.04, R.14.07, R.14.07.11.01, R.32.01.03, R.01.06.02.02, R.40.01, R.01.01.09.04.01, R.42.19, R.11.04.03, R.01.01.09.07.01, R.01.03.10, R.02.16, R.01.06.06, R.01.02.07, R.01.01.09.05, R.32.07.03, R.20.01.01.01.01, R.34.07.01, R.20.01.21, R.34.01.01, R.01.01.11.04.01, R.20.01.03.01, R.30.01, R.14, R.01.01.13, R.01.01.06.05.01, R.11.02.03.01.01, R.02.04, R.01.01.06.02.01, R.12.04, R.20.01.25, R.38, R.01.01.03.05.01, R.40.10.02.02.01, R.14.07.01, R.01.02.02.09, R.20.09.07.25, R.20.01.01.07.07, R.01.03.16.01, R.40.20, R.10.03.03, R.01.06.10, R.01.03.01.01, R.02.45, R.14.13.04, R.20.01.01.07, R.01.01.06.05.01.01, R.20.09.18.09.01, R.10.01.05, R.01.01.09.02, R.30.01.05.05.01, R.11.04.03.03, R.02.01.03, R.01.01.09.03.01, R.18.02.09, R.42.10, R.20.09.07.05, R.20.01.03.03, R.16.21.17, R.01.03.04.01, R.01.05.06.07, R.11.02.01, R.18.02.01.01.01, R.01.01.03.03.01}

@DATA
8,9,15,R.20.09.13
8,7,11,R.20.09.13
10,7,9,R.20.09.13
8,12,9,R.42.16
11,6,1,R.42.16
8,11,14,R.42.16
8,7,9,R.42.16
5,8,13,R.11.04.01
5,7,8,R.11.04.01
6,6,8,R.11.04.01
6,6,10,R.11.04.01
8,8,11,R.01.04
5,15,14,R.01.04
9,5,9,R.01.04
7,2,12,R.01.04
7,16,10,R.01.04
7,7,13,R.01.04
7,9,10,R.01.04
11,8,15,R.01.04
9,4,9,R.01.04
8,5,8,R.01.04
5,19,10,R.01.04
10,10,10,R.01.04
10,4,9,R.01.04
8,3,15,R.01.04
9,7,10,R.01.04
8,7,11,R.01.04
8,5,11,R.01.04
7,8,13,R.01.04
7,9,8,R.01.04
6,11,8,R.01.04
8,3,17,R.01.04
8,7,14,R.01.04
9,12,12,R.01.04
10,2,9,R.01.04
1,7,7,R.01.04
9,2,13,R.01.04
8,8,13,R.01.04
8,4,11,R.01.04
8,7,11,R.01.04
8,5,11,R.01.04
9,8,9,R.10.01.05.01
6,6,7,R.10.01.05.01
10,18,11,R.10.01.05.01
7,7,8,R.10.01.05.01
6,8,8,R.10.01.05.01
10,4,14,R.11.02.03.04
6,9,14,R.11.02.03.04
8,8,10,R.11.02.03.04
9,5,6,R.11.02.03.04
7,5,8,R.11.02.03.04
8,8,11,R.11.02.03.04
11,4,11,R.11.02.03.04
10,5,10,R.11.02.03.04
8,7,9,R.11.02.03.04
9,3,9,R.11.02.03.04
8,7,12,R.11.02.03.04
7,4,10,R.11.02.03.04
9,5,10,R.11.02.03.04
11,5,7,R.11.02.03.04
4,3,13,R.11.02.03.04
7,6,11,R.11.02.03.04
7,5,10,R.11.02.03.04
9,6,8,R.11.02.03.04
7,6,9,R.11.02.03.04
9,7,11,R.11.02.03.04
6,8,9,R.11.02.03.04
7,8,7,R.11.02.03.04
5,8,12,R.11.02.03.04
9,7,10,R.11.02.03.04
8,6,9,R.11.02.03.04
8,6,8,R.11.02.03.04
5,7,11,R.11.02.03.04
6,9,12,R.11.02.03.04
8,7,13,R.11.02.03.04
7,7,9,R.11.02.03.04
5,9,11,R.11.02.03.04
5,10,14,R.11.02.03.04
6,8,10,R.11.02.03.04
4,6,9,R.11.02.03.04
8,8,11,R.11.02.03.04
10,5,11,R.11.02.03.04
10,10,2,R.11.02.03.04
6,8,7,R.11.02.03.04
9,6,8,R.11.02.03.04
13,1,12,R.12.01.01
9,4,15,R.12.01.01
8,5,12,R.12.01.01
8,10,10,R.12.01.01
9,7,19,R.12.01.01
7,7,1,R.12.01.01
11,3,12,R.12.01.01
3,13,0,R.12.01.01
6,11,12,R.12.01.01
5,6,13,R.12.01.01
12,6,10,R.12.01.01
6,10,1,R.12.01.01
7,13,11,R.12.01.01
10,4,12,R.12.01.01
8,5,18,R.12.01.01
8,6,18,R.12.01.01
11,2,12,R.12.01.01
7,3,14,R.12.01.01
8,5,12,R.12.01.01
7,11,14,R.12.01.01
10,1,16,R.12.01.01
9,8,10,R.01.05
11,10,11,R.01.05
8,9,12,R.01.05
12,7,9,R.01.05
9,5,11,R.01.05
15,3,5,R.01.05
11,9,13,R.01.05
15,10,10,R.01.05
9,10,10,R.01.05
7,10,14,R.01.05
9,5,9,R.01.05
8,5,11,R.01.05
14,5,8,R.01.05
9,7,9,R.01.05
9,7,14,R.01.05
10,7,14,R.01.05
4,9,13,R.34.01.01.01
12,3,14,R.34.01.01.01
10,6,13,R.34.01.01.01
10,4,12,R.34.01.01.01
10,4,12,R.01.05.02.07
12,5,18,R.01.05.02.07
11,6,9,R.01.05.02.07
10,9,14,R.01.05.02.07
7,3,10,R.43.01.03.09
9,7,9,R.43.01.03.09
13,15,12,R.43.01.03.09
11,3,8,R.43.01.03.09
11,9,14,R.43.01.03.09
14,6,12,R.01.05.25
12,15,13,R.01.05.25
5,11,10,R.20.09.01
7,7,8,R.40.01
0,3,10,R.30.01
6,4,14,R.16.03.01
5,10,17,R.16.03.01
7,6,11,R.16.03.01
10,2,8,R.16.03.01
0,8,12,R.16.03.01
12,6,9,R.16.03.01
8,7,9,R.16.03.01
12,5,6,R.16.03.01
9,5,8,R.01.07.01
8,8,12,R.01.07.01
7,8,15,R.01.07.01
7,10,10,R.01.07.01
6,12,9,R.01.07.01
9,5,10,R.01.07.01
6,6,12,R.12.07
7,6,14,R.12.07
11,2,7,R.32.07
7,6,13,R.32.07
4,9,9,R.32.07
9,11,9,R.32.07
7,8,13,R.14.04
2,8,11,R.14.04
7,7,11,R.14.04
7,7,15,R.14.04
7,10,11,R.14.04
10,4,10,R.14.04
6,9,12,R.14.04
8,7,12,R.14.04
9,8,12,R.14.04
9,5,11,R.14.04
6,7,12,R.14.04
7,6,13,R.14.04
3,7,10,R.14.04
11,3,10,R.14.04
9,6,8,R.14.04
11,1,10,R.14.04
12,4,11,R.14.04
8,13,13,R.32.01
9,7,12,R.32.01
11,8,13,R.32.01
9,5,12,R.32.01
6,7,14,R.32.01
11,11,12,R.32.01
9,6,12,R.43.01.03.05
9,6,12,R.43.01.03.05
14,10,13,R.43.01.03.05
11,9,10,R.43.01.03.05
5,10,15,R.43.01.03.05
7,10,11,R.43.01.03.05
8,4,12,R.43.01.03.05
8,6,8,R.43.01.03.05
10,6,12,R.43.01.03.05
9,9,13,R.43.01.03.05
9,6,10,R.43.01.03.05
5,6,6,R.43.01.03.05
19,8,9,R.43.01.03.05
8,7,10,R.43.01.03.05
8,8,9,R.20.01.01.01
12,5,9,R.42.01
10,6,10,R.42.01
11,15,14,R.42.01
8,6,8,R.42.01
6,8,11,R.42.01
9,10,12,R.42.01
8,7,10,R.42.01
10,4,14,R.42.01
11,3,16,R.42.01
10,5,12,R.42.01
6,3,13,R.12.04.01
7,5,11,R.12.04.01
10,7,11,R.01.06.05
6,6,11,R.02.13
8,7,12,R.10.03.01
3,8,16,R.10.03.01
11,4,8,R.10.03.01
10,4,5,R.10.03.01
9,5,8,R.10.03.01
8,6,11,R.10.03.01
14,10,19,R.10.03.01
8,8,9,R.10.03.01
6,8,15,R.10.03.01
6,7,12,R.10.03.01
