@relation 'cellcycle0.names'
@attribute cln3-1                                  numeric
@attribute alpha0                                  numeric
@attribute alpha14                                 numeric
@attribute alpha28                                 numeric
@attribute alpha77                                 numeric
@attribute alpha112                                numeric
@attribute cdc15_50                                numeric
@attribute cdc15_120                               numeric
@attribute cdc15_160                               numeric
@attribute cdc15_190                               numeric
@attribute cdc15_200                               numeric
@attribute cdc15_220                               numeric
@attribute cdc15_230                               numeric
@attribute cdc28_50                                numeric
@attribute cdc28_80                                numeric
@attribute cdc28_90                                numeric
@attribute cdc28_100                               numeric
@attribute cdc28_120                               numeric
@attribute cdc28_130                               numeric
@attribute cdc28_140                               numeric
@attribute cdc28_150                               numeric
@attribute cdc28_160                               numeric
@attribute elu0                                    numeric
@attribute elu120                                  numeric
@attribute elu330                                  numeric
@attribute elu390                                  numeric
@attribute class {11.02.03.01,01.04,43.01.03.09,32.01,12.04.01,14.10,20.09.07.03,16.03.03,42.01,01.05,20.03,01.03.01.03,10.01.09.05,11.02.03.04,12.10,01.05.25,16.19.03,11.04.03.01,34.11.03.07,14.04,16.01,43.01.03.05,42.16,12.01.01,01.07.01,20.09.07,32.07,01.05.02.07,01.06,20.09.04,20.01.13,01.06.02.01,11.06.02,10.01.05.01,20.09.13,14.07.02.02,12.07,14.13,10.03.01,10,16.03.01,42.04,34.01.01.01,01.01,11,20.01.01.01,20.01.03,11.04.01,01.03.01,14.07.11,20.09.18,20.01.07,20.01.15,14.01,01.06.06.11,14.13.01.01,10.03.02,20.01.10,01.02,99,32.01.01,14.13.01,02.13.03,14.07.05,01.03.04,16.21.07,14.07,40.01,12.04,10.01.05,42.10,10.03.01.01,01.01.06,10.03.04,01.01.09,20.01,20.09,11.04,18.02,02,01}
@data
-1.22,-0.14,0.1,-0.4,0.29,-0.08,-0.16,0.37,0.03,0.105,0.22,0.08,0.56,-0.8,-0.47,1.06,-2.82,-0.22,0.47,0.89,0.48,0.8,-1.54,0.18,-0.1,0.02,12.04
0.25,-0.03,0.17,-0.27,0.36,0.23,0,-0.1,-0.13,0.05,0.29,0.39,-0.21,-0.73,0.1,0.06,0.18,0.33,0.06,0.045,-0.35,0.44,0.49,0.12,-0.35,0.15,43.01.03.09
0,0,0.05,-0.09,-0.42,-0.16,-0.02,0.08,-0.12,0.16,0.28,0.31,0.17,-0.48,0.12,0.73,0.08,-0.11,0.0378049,-0.02,-0.25,0.09,0.04,0.1,0.19,0.35,16.03.03
-0.89,0,0,-0.13,0.27,0.15,-0.0563636,0.41,-0.07,-0.0680952,0,0.66,0.33,-0.03,-0.34,-0.43,-0.48,-0.43,-0.03,-1.24,-0.57,-1.16,1.03,-0.06,-0.12,-0.08,42.01
1.3,-1.61,-1.09,0.98,-0.16,0.05,1.26,-1.91,1.24,0.85,0.3,-0.44,-1.15,-0.53,-0.78,-0.09,0.3,0.15,0.43,0.85,0.3,-0.14,-1.63,-0.34,0.45,-0.59,11.02.03.04
0.43,-0.48,0.08,0,0.21,0.32,-0.1,-0.34,-0.06,0.39,0.11,-0.02,0.17,-0.04,-0.01,0.07,0.12,0.12,0.25,0.00578947,0.12,-0.2,-0.83,-0.31,0.37,0.08,20.03
0.29,-0.32,0.31,-0.67,0.69,-0.37,-0.5,1,0.04,-0.178919,0.13,0.23,1.01,-0.32,1.07,0.47,0.38,-0.13,-0.78,-0.13,0.0170588,-0.0838235,-0.91,0.17,0.25,-0.05,16.19.03
-0.49,0.25,0.66,-0.05,-0.04,0.07,-0.4,-0.35,-0.04,-0.33,-0.02,0.1,0.64,-0.59,0.11,0.8,0.66,0.68,0.65,0.78,0.0720703,0.103594,2.44,-0.75,0.14,0.06,16.01
0.5,-0.14,-0.02,-0.07,-0.04,0.25,-0.314194,0.118276,-0.137241,-0.0368966,0.00586207,0.124483,0.0313793,0.08,0.07,-0.22,-0.13,0.65,-0.08,0.08,0.28,0.262727,0.19,0,0.36,0.05,42.16
0.78,-0.63,-0.57,-0.23,0.72,0.23,-0.05,-0.17,0.1,-0.47,0.45,-0.1,-0.47,0.54,-0.01,-0.09,-0.21,0.17,0.41,0.24,-0.34,0.14,0.31,0.1,-0.16,-0.4,10.03.01.01
-0.86,-0.03,-0.15,0.35,0.21,0.05,0.43,-0.45,0.41,0.5,0.63,0.07,-0.59,0.22,-0.5,0.23,-0.58,0.3,0.01,0.07,0.0566667,0.0822222,-0.1,-0.1,0.2,0.08,32.07
0.2,-0.47,-0.15,0.06,0.1,-0.06,0.21,0.33,-0.34,-0.0494737,0.52,0.08,0.55,-0.33,-0.02,-0.11,0.32,0.26,-0.29,0.008,-0.43,-0.3,-0.65,-0.17,0.15,0.09,01.06.02.01
-0.62,-0.23,0.11,-0.49,0.43,-0.06,-0.225,-0.085,0.125,-0.43,0.105,0.595,0.145,-0.85,0.03,0.93,0.54,0.26,0.12,-0.015,0.08,1.03,0.5,-0.92,0.62,0.49,20.01
-0.07,0,0.29,-0.04,-0.26,0,-0.0415985,-0.0476604,-0.0568045,-0.0825,0.0252632,0.102192,0.0280755,-0.34,0.09,0.66,0.38,0.21,0.01,0.00718062,0.14,0.26,0.86,-0.17,0.5,-0.18,01.04
0.69,-0.48,0.38,-0.11,0.38,-0.46,-0.168158,-0.25,0.65,0,-0.46,-0.09,0.5,-0.3,-0.48,0.33,0.53,0.0370732,-0.21,-0.32,-0.49,-0.44,-0.76,0.74,-0.05,-0.09,34.11.03.07
2.05,-1.15,1.21,1.12,1.3,-0.8,0.23587,-1.25,1.51,-0.25,-0.78,-1.3,-0.23,-0.45,-1.04,0.83,1,-0.0256863,-0.06,-0.14,-0.77,-0.39,-1.8,0.96,-0.21,-0.3,10.01.05.01
0.21,-0.86,-0.08,-0.19,0.17,0.05,-0.15,0.31,0.24,0.04,0.22,0.63,0.43,-0.61,-0.21,0.66,-0.0500265,-0.31,-0.06,0.29,-0.16,0.38,-0.31,-0.26,0.23,-0.04,11.02.03.04
-0.42,0.01,0.16,0.13,0.11,-0.21,-0.0236943,-0.0716352,-0.104277,-0.0485161,0.000743243,0.0569032,0.0779747,0.07,-0.17,0.46,0.12,-0.16,-0.0189583,0.03,0.13,0.02,-0.18,0.12,0.04,-0.07,14.04
0.1,-0.13,0.04,0.1,0.35,0.44,0.1,-0.29,-0.33,-0.1,0.45,0.11,-0.08,0.15,0.02,0.5,0.14,0.17,-0.093,0.33,0.16,0.08,-0.55,0.11,0.09,-0.1,01.01.06
0.14,-0.5,0.03,-0.23,-0.26,-0.26,-0.24,0.13,0.08,-0.85,0.1,0.45,0.06,0.15,0.22,0.38,-0.4,-0.46,-0.46,-0.39,0.0457455,0.0343796,0.34,0.3,-0.35,-0.19,01.04
-0.45,-0.54,0.59,-0.66,0.105796,-0.21,-0.85,0.66,0.21,0.42,0.56,0.46,1.56,0.19,1.03,0.16,-0.23,0.15,0.15,0.66,-0.127093,-0.118458,-0.19,-0.44,0.7,0.32,10
-0.17,-0.12,0.28,0.11,-0.46,-0.26,-0.154759,-0.00971429,0.0421277,-0.0747101,0.0476336,0.158623,-0.0907801,-0.61,-0.35,0.17,0.38,0.67,0.51,-0.000535714,0.53,0.92,-0.28,-0.1,0.21,0.11,01.05
-0.54,-0.15,-0.09,-0.39,-0.0894271,-0.47,-0.54,0.58,0.51,-0.37,0.21,0.52,0.67,-0.33,0.1,0.01,0.29,0.16,0.229435,-0.09,0.05,0.33,-0.25,-0.03,0.15,0.1,12.01.01
-0.56,0.61,0.05,0.09,-0.14,0.23,-0.0325862,-0.110702,-0.0852632,-0.0249091,-0.0385714,0.0705172,-0.0243103,-0.14,0.14,0.24,-0.01,-0.11,0.0602326,0.05,-0.56,0.56,-0.29,0.25,0.21,0.16,01.07.01
-0.56,0.17,0.09,-0.24,0.01,0.07,0.21,-0.08,-0.19,-0.29,0.1,0.21,0.28,-0.71,-0.6,-1.49,0.57,-0.4,0.3,0.67,0.15,0.85,-1.39,0.3,0.14,-0.05,12.01.01
