@relation 'cellcycle0.names'
@attribute cln3-1                                  numeric
@attribute clb2-2                                  numeric
@attribute alpha0                                  numeric
@attribute alpha14                                 numeric
@attribute alpha77                                 numeric
@attribute alpha112                                numeric
@attribute alpha119                                numeric
@attribute cdc15_10                                numeric
@attribute cdc15_30                                numeric
@attribute cdc15_50                                numeric
@attribute cdc15_160                               numeric
@attribute cdc15_180                               numeric
@attribute cdc15_200                               numeric
@attribute cdc15_210                               numeric
@attribute cdc15_250                               numeric
@attribute cdc28_0                                 numeric
@attribute cdc28_10                                numeric
@attribute cdc28_50                                numeric
@attribute cdc28_60                                numeric
@attribute cdc28_80                                numeric
@attribute cdc28_110                               numeric
@attribute cdc28_120                               numeric
@attribute cdc28_140                               numeric
@attribute cdc28_150                               numeric
@attribute elu0                                    numeric
@attribute elu60                                   numeric
@attribute elu90                                   numeric
@attribute elu390                                  numeric
@attribute class {11.02.03.01,01.04,43.01.03.09,32.01,12.04.01,14.10,20.09.07.03,16.03.03,42.01,01.05,20.03,01.03.01.03,10.01.09.05,11.02.03.04,12.10,01.05.25,16.19.03,11.04.03.01,34.11.03.07,14.04,16.01,43.01.03.05,42.16,12.01.01,01.07.01,20.09.07,32.07,01.05.02.07,01.06,20.09.04,20.01.13,01.06.02.01,11.06.02,10.01.05.01,20.09.13,14.07.02.02,12.07,14.13,10.03.01,10,16.03.01,42.04,34.01.01.01,01.01,11,20.01.01.01,20.01.03,11.04.01,01.03.01,14.07.11,20.09.18,20.01.07,20.01.15,14.01,01.06.06.11,14.13.01.01,10.03.02,20.01.10,01.02,99,32.01.01,14.13.01,02.13.03,14.07.05,01.03.04,16.21.07,14.07,40.01,12.04,10.01.05,42.10,10.03.01.01,01.01.06,10.03.04,01.01.09,20.01,20.09,11.04,18.02,02,01}
@data
-0.15,-0.315,0.01,0.17,-0.2,0.06,0.03,-0.48,0.24,1.09,0.99,1.05,0.58,-1.18,-1.26,0.53,-0.08,1.68,0.38,-0.51,-0.83,0.08,-0.37,-1.83,-0.2,0.03,0.29,-0.39,20.03
0.21,-0.45,-0.01,-0.34,0.12,0.48,0.38,0.12125,0.62,0.0864,0.03,0.13,-0.05,-0.59,-0.53,0.02,0.24,-0.13,0.27,0,-0.13,-0.04,-0.02,0.07,-0.46,-0.21,0.27,-0.09,11.02.03.01
0.72,0.75,0.1,0.28,0.01,-0.59,0.05,-0.0647126,0.0220225,-0.0563636,0.0855435,0.0887778,0.0851136,-0.0897802,-0.131522,-0.02,-1.06,-0.58,-0.03,0.14,0.4,0.75,1.15,0.000470588,-1.41,-6.22,0.93,0.71,42.01
-0.38,0.15,-0.25,-0.93,0,0.11,0.35,-0.0577124,-0.025414,-0.0236943,-0.104277,0.0456129,0.000743243,-0.0107143,0.0275776,0.7,0.18,0.73,0.92,0.1,-0.28,0.32,-0.03,-0.87,-1.18,0.2,0.1,0.2,14.04
0.12,-0.14,0.23,0.33,-0.37,-0.21,-0.04,0.24,0.2,-0.57,0.1,0.24,-0.05,-0.07,-0.44,-0.32,0.15,-0.05,0.1,0.13,-0.33,0.13,0,0.2,0.53,0.16,0.47,-0.18,16.01
5.54,-0.217842,-0.19,-0.09,-0.05,0.28,0.04,-0.3,-0.04,-0.08,0.84,1.01,0.28,-0.84,-0.78,1.33,-0.12,-0.22,-0.44,-0.12,-0.57,0.22,0.14,-0.03,0.18,0.45,-0.11,0.14,01.04
-0.47,-0.2,-0.03,-0.37,0.2,0.18,-0.02,0.62,0.83,0.6,-0.19,-0.21,0.08,0.18,0.14,-0.33,0.08,-0.19,0.05,0.05,-0.4,0.14,0.14,0.0488514,-0.82,-0.31,0.34,0.08,01.05
-0.2,-0.09,-0.45,0.08,0.15,-0.42,0.05,-0.286667,-0.280645,-0.180645,0.0313333,0.104667,0.0255172,-0.0332258,0.0306667,-0.3,-0.8,-0.12,0.18,0.01,0.13,0.01,0.16,-0.1,0.08,-0.09,-0.28,-0.18,20.09.04
-0.36,-0.0563158,4.95,2.17,-0.77,-0.8,-0.84,-0.23,0.24,-0.01,0.133684,0.0935294,-0.0934375,-0.141892,0.1215,0.59,0.48,-0.11,-0.2,-0.65,0.06,0.21,-0.11,0.14,0.11,-0.19,-0.37,-0.26,34.11.03.07
0.83,-1.36,-0.91,0.41,0.5,-0.42,-0.03,0.31,0.49,0.58,0.82,0.8,-0.17,-0.91,-0.22,-0.22,0.69,-0.28,-0.86,-0.58,0.53,0.15,0.06,-0.84,-0.97,0.31,-0.36,0.24,14.07
0.12,-0.42,-0.44,-0.42,-0.35,0,0.25,-0.9,-0.64,-0.38,0.17,0.38,-0.07,0.32,-0.64,-0.81,-0.42,-0.4,0.23,-0.27,0.04,0.14,0.56,0.11,-2.61,-1.24,-0.8,0.21,42.01
-0.14,-0.228509,0.05,0.02,-0.13,0.21,-0.01,-0.0577124,-0.025414,-0.0236943,-0.104277,0.0456129,0.000743243,-0.0107143,0.0275776,0.15,0.09,0,-0.14,-0.11,-0.21,0.2,0.29,0.16,0.11,0.04,0.31,0.07,14.04
-0.36,-0.42,-0.01,0.06,-0.01,0.26,-0.1,0.4,0.52,0.48,-0.22,-0.54,-0.39,0.44,0.44,-0.02,-0.44,-0.33,0.05,-0.07,0.29,0.03,0.01,-0.35,0.76,-0.31,-0.25,-0.09,14.04
-0.74,-0.2,0.02,0.33,-0.05,0.36,-0.1,-0.06,-0.01,0.24,0.01,-0.27,0.09,-0.23,-0.08,0.27,0.24,-0.27,-0.27,0.35,0.12,0.48,0.12,0.000470588,-0.4,0.08,-0.01,0.12,42.01
