@relation 'cellcycle0.names'
@attribute cln3-1                                  numeric
@attribute alpha105                                numeric
@attribute alpha112                                numeric
@attribute cdc15_30                                numeric
@attribute cdc15_80                                numeric
@attribute cdc15_100                               numeric
@attribute cdc15_170                               numeric
@attribute cdc15_180                               numeric
@attribute cdc28_50                                numeric
@attribute cdc28_60                                numeric
@attribute cdc28_80                                numeric
@attribute cdc28_90                                numeric
@attribute cdc28_120                               numeric
@attribute cdc28_160                               numeric
@attribute elu0                                    numeric
@attribute elu30                                   numeric
@attribute elu300                                  numeric
@attribute elu390                                  numeric
@attribute class {11.02.03.01,01.04,43.01.03.09,32.01,12.04.01,14.10,20.09.07.03,16.03.03,42.01,01.05,20.03,01.03.01.03,10.01.09.05,11.02.03.04,12.10,01.05.25,16.19.03,11.04.03.01,34.11.03.07,14.04,16.01,43.01.03.05,42.16,12.01.01,01.07.01,20.09.07,32.07,01.05.02.07,01.06,20.09.04,20.01.13,01.06.02.01,11.06.02,10.01.05.01,20.09.13,14.07.02.02,12.07,14.13,10.03.01,10,16.03.01,42.04,34.01.01.01,01.01,11,20.01.01.01,20.01.03,11.04.01,01.03.01,14.07.11,20.09.18,20.01.07,20.01.15,14.01,01.06.06.11,14.13.01.01,10.03.02,20.01.10,01.02,99,32.01.01,14.13.01,02.13.03,14.07.05,01.03.04,16.21.07,14.07,40.01,12.04,10.01.05,42.10,10.03.01.01,01.01.06,10.03.04,01.01.09,20.01,20.09,11.04,18.02,02,01}
@data
-0.6,0.68,-0.24,-1.33,-0.37,-0.71,-0.84,0.52,-0.8,-0.16,-0.9,-0.07,-0.66,0.35,-0.09,-0.02,-0.43,0.65,01.04
-0.42,0.11,0.17,-0.15,-0.06,-0.67,0.06,-0.17,-0.73,-0.04,-0.2,0.75,-0.04,0.2,-0.6,-0.27,0.06,0.11,20.09.07.03
-0.34,0.37,0.26,-0.41,0.53,0.42,-0.56,0.61,-0.12,-0.16,0.09,0.91,0.19,0.15,1.57,0.13,-1.39,1.07,01.05
-1.29,0.46,0.17,0.285455,-0.35,0.39,-0.18,-0.02,-0.15,0.21,-0.36,0.05,-0.13,0.04,-0.13,0.07,-0.02,-0.14,01.03.01.03
0.26,-0.14,-0.2,-0.0112687,0.25,0.34,0.1,0.37,-0.81,-0.21,0.16,0.45,0.17,0.0343796,0.62,0.15,-0.13,0.19,01.04
0.36,0.47,-0.13,0.0954545,-0.0157143,-0.00136364,0.0731579,0.200476,-0.11,-0.22,-0.22,-0.09,-0.02,0.17,-0.53,-0.13,0.04,0.37,01.05.25
0.45,-0.05,-0.53,1.7,-0.62,-0.255,1.44,0.09,-0.36,-0.5,-0.65,0.86,0.16,-0.94,-0.59,-0.72,-0.2,-0.24,10
-0.56,-0.05,0.38,-0.21,-0.5,-0.28,0.04,-0.23,-0.45,-0.01,-0.1,0.84,-0.05,0.48,0.21,-0.19,-0.05,0.3,43.01.03.05
-0.09,0.03,-0.12,0.91,-0.4,0.07,-0.69,-0.19,0.05,0.19,-0.08,0.62,0.06,0.41,-0.02,-0.27,-0.29,-0.04,43.01.03.05
-0.51,0.63,-0.25,-0.105625,0.37,0.43,-0.23,-0.05,-1,0.01,-0.79,1.51,-0.64,0.47,-0.81,-0.23,-0.21,-0.33,12.01.01
0.138182,0.57,0.17,0.2,0.33,0.09,-0.3,0.49,-0.33,0.1,-0.22,0.14,0.0228,0.24,-0.13,0.08,-0.37,-0.14,11.02.03.04
-0.4,0.4,-0.01,-0.0452632,0.49,0.62,-0.44,-0.18,0.02,0.46,0.22,0.08,0.22,0.51,-0.48,-0.2,-0.03,0.19,01.07.01
-0.42,-0.18,0.13,0.3,-0.14,-0.28,0.13,-0.11,-0.36,-0.04,-0.19,-0.13,0.09,-0.08,-0.02,-0.51,0.12,-0.01,01
0.82,0.59,-0.39,0.0421898,0.0827407,0.0537594,0.0686466,0.0965116,-0.04,0.51,-0.24,0.29,0.17,-0.06,-0.75,-0.62,0.23,-0.3,43.01.03.05
-0.42,0.19,-0.01,-0.88,0.66,0.57,-0.58,0.2,-0.41,0.39,-0.38,0.214172,-0.13,0.46,-0.62,-0.76,-0.24,-0.13,12.01.01
-0.2,-0.11,0.13,-0.20125,0.0870213,0.0653191,0.025,0.257391,-0.08,0.38,0.07,-0.4,0.23,0.12,0.47,-0.6,-0.08,-0.02,01.06
0.58,-0.04,-0.08,-0.3,0.38,0.09,0.17,-1.08,-0.22,-0.07,-0.22,0.11,0.49,-0.14,-0.22,-0.33,-0.06,-0.04,20.01.13
-0.04,0.84,0.04,0.0985319,-0.00599432,0.0155398,0.116083,0.027194,0.25,0.54,0.16,-0.35,0.48,0.09,-0.51,-0.09,-0.13,0.2,11.02.03.04
-0.29,-0.33,0.23,0.1925,-0.0742857,0.31625,-0.01375,-0.0825,-0.27,0.3,0.09,-0.03,-0.04,-0.22,-0.78,-0.22,0.38,-0.2,11.06.02
-1.25,-0.08,0.14,0.26,-0.45,-0.53,-0.19,-0.23,-0.42,0.09,-0.51,0.48,-0.35,0.14,-0.52,-0.48,-0.29,0.28,16.01
-1.12,0.12,-0.36,0.35,-0.25,-0.29,0.29,-0.74,-0.66,0.21,-0.55,-1.76,-0.35,0.62,-0.87,-0.17,0.08,-0.16,12.01.01
-0.38,-0.24,0.09,1.01,-0.08,0.27,-0.44,0.53,0.51,-0.15,-0.24,-0.85,-0.58,-0.62,0.63,0.01,0.71,-0.31,20.09.13
-0.45,0.54,0.03,0.298929,-0.186296,-0.0846296,0.113818,-0.0892308,-0.09,0.11,0.06,-0.1,-0.0321667,0.12,1.36,0.06,-0.03,-0.22,16.03.03
-0.62,0.72,-0.06,0.0220225,0.16,0.2,0.02,-0.06,0.24,0.27,0.14,0.47,0.22,0.08,-0.28,-0.24,-0.36,-0.11,42.01
-0.2,0.11,0.35,0.17,-0.09,0.32,-0.13,0.29,-0.09,-0.33,0.35,-0.11,0.11,0.44,0.56,0,0.26,0.09,14.13
0.06,0.17,0.25,0.27,0.29,-0.03,-0.03,-0.11,-0.28,-0.08,-0.13,0.29,-0.02,-0.38,-0.42,-0.36,0.05,0.01,10.03.01
-0.92,0.0230928,0.120773,0.9,-0.2,0.13,-0.25,-0.34,-0.23,0.28,-0.02,0.45,-0.17,-0.23,-0.97,-0.31,-0.06,0,12.01.01
-0.18,0.03,0.24,0,0.05,-0.03,-0.23,-0.4,-0.16,0.21,-0.06,0.24,-0.09,0.18,-0.15,-0.38,-0.05,-0.01,42.04
0.41,-0.03,-0.1,0.1,-0.38,-0.69,0.11,-0.52,-0.03,0.13,0.18,-0.09,0.14,-0.13,0.15,-0.11,-0.41,-0.39,42.16
-0.64,-0.11,-0.08,-0.26,-0.08,-0.23,0.12,0.18,-0.41,-0.02,0,0.56,0.07,0.32,0.63,0.29,-0.1,0.21,01.05
0.2,-0.05,-0.01,0.21,-0.2,0.07,0.55,0.33,-0.15,-0.09,0.04,0.54,0.03,0.01,-0.14,-0.17,0.14,0.08,11.02.03.04
0.76,-0.22,-0.13,0.11,-0.16,-0.33,0.29,-0.33,-0.14,-0.33,-0.48,0.34,0.24,-0.44,0.04,0.01,0.06,0.17,11.02.03.04
0.36,0.01,-0.23,0.13,-0.0817857,-0.0435714,-0.0128571,0.0133333,-0.12,-0.27,-0.25,0.15,0,-0.08,-0.3,1.06,-0.13,-0.1,10.01.09.05
-0.03,0.31,-0.09,-0.59,0.04,0.12,-0.2,0.53,-0.45,0.15,-0.12,0.61,-0.2,0,0.99,0.76,-0.55,0.19,14.07.11
0.0964052,0.2,-0.01,-0.44,0.47,0.27,-0.2,0.41,-0.23,0.09,-0.13,0.65,-0.07,0.15,-0.23,0.05,-0.25,0.28,01.05
-0.76,0.53,0.01,-0.92,0.02,-0.38,0.43,0.65,-0.02,0.18,-0.6,-0.31,0.12,0.58,-0.31,0.55,0.15,0.46,01.04
-0.45,0.77,-0.19,-0.02,0.58,0.32,0.02,0,0.19,0.49,0.17,0.25,-0.07,-0.08,-0.72,-0.47,-0.04,-0.11,16.03.03
0.38,-0.31,-0.16,-2.01,-0.97,-1.04,0.3,-0.18,-0.94,-1.11,-0.19,0.73,0.27,1.1,0.89,0.59,-0.39,0.6,01.04
0.08,0.19,0.37,-1.25,0.34,1.92,-0.42,-0.92,-1.01,-0.55,0.08,1.2,0.69,-0.31,1.48,0.12,-0.12,0.44,01.01.06
0.36,0.08,0.02,0.49,0.15,0.53,-0.9,-0.04,0.23,0.23,0.17,0.28,-0.08,-0.48,0.42,0.04,-0.13,0.02,16.19.03
0.14,-0.05,0.28,-0.54,0.51,0.16,0.12,-0.9,-0.1,0.22,-0.06,0.43,-0.18,-0.02,-0.14,-0.28,0.29,-0.31,43.01.03.05
-0.32,-0.22,0.04,-0.52,-0.01,-0.02,0.21,-1.33,-0.44,-0.23,0.02,0.82,-0.26,0.29,0.48,0.42,-0.23,-0.04,20.01.15
0.03,-0.1,0.2,0.58,0.14,0.11,0.03,0.05,0.08,0.51,0.19,-0.42,0.18,0.33,0.79,-0.02,-0.02,-0.19,11.04.01
-0.51,0.13,0.17,-0.17,-0.01,-0.29,0.13,-0.14,0.1,0.29,-0.1,-0.13,-0.21,0.22,0.04,0.41,0.08,0,01.04
-0.81,0.18,0.02,-0.99,0.5,-0.16,-0.12,0.87,-0.11,0.18,-0.44,0.31,-0.48,-0.11,-0.44,-0.06,-0.01,0.03,16.01
-0.47,0.18,0.19,0.34,0.39,0.51,0.09,0.44,0.16,-0.45,0.46,0.11,0.31,0.14,0.7,0.07,0.3,0.03,16.01
-0.15,0.32,-0.11,-1.18,0.8,0.07,0.05,0.07,0.12,0.02,0.33,-0.6,0.28,-0.37,-0.05,0.19,-0.01,0.23,14.01
0.21,0.05,-0.13,0.2,-0.2,0.5,0.18,-0.08,-0.07,-0.35,0.39,-0.38,0.37,-0.29,0.02,-0.13,-0.09,0.15,11.02.03.04
0.25,0.51,0.02,-0.21,-0.02,0.07,0.36,-0.16,0.27,0.35,-0.19,-0.18,0.15,-0.41,-0.01,-0.01,0,-0.09,11.02.03.04
