@relation 'cellcycle0.names'
@attribute cln3-1                                  numeric
@attribute cln3-2                                  numeric
@attribute clb2-1                                  numeric
@attribute alpha91                                 numeric
@attribute alpha105                                numeric
@attribute alpha112                                numeric
@attribute cdc15_10                                numeric
@attribute cdc15_30                                numeric
@attribute cdc15_80                                numeric
@attribute cdc15_100                               numeric
@attribute cdc15_160                               numeric
@attribute cdc15_170                               numeric
@attribute cdc15_200                               numeric
@attribute cdc15_230                               numeric
@attribute cdc15_240                               numeric
@attribute cdc28_10                                numeric
@attribute cdc28_60                                numeric
@attribute cdc28_70                                numeric
@attribute cdc28_80                                numeric
@attribute cdc28_110                               numeric
@attribute cdc28_130                               numeric
@attribute cdc28_150                               numeric
@attribute elu0                                    numeric
@attribute elu30                                   numeric
@attribute elu60                                   numeric
@attribute elu120                                  numeric
@attribute elu300                                  numeric
@attribute elu390                                  numeric
@attribute class {11.02.03.01,01.04,43.01.03.09,32.01,12.04.01,14.10,20.09.07.03,16.03.03,42.01,01.05,20.03,01.03.01.03,10.01.09.05,11.02.03.04,12.10,01.05.25,16.19.03,11.04.03.01,34.11.03.07,14.04,16.01,43.01.03.05,42.16,12.01.01,01.07.01,20.09.07,32.07,01.05.02.07,01.06,20.09.04,20.01.13,01.06.02.01,11.06.02,10.01.05.01,20.09.13,14.07.02.02,12.07,14.13,10.03.01,10,16.03.01,42.04,34.01.01.01,01.01,11,20.01.01.01,20.01.03,11.04.01,01.03.01,14.07.11,20.09.18,20.01.07,20.01.15,14.01,01.06.06.11,14.13.01.01,10.03.02,20.01.10,01.02,99,32.01.01,14.13.01,02.13.03,14.07.05,01.03.04,16.21.07,14.07,40.01,12.04,10.01.05,42.10,10.03.01.01,01.01.06,10.03.04,01.01.09,20.01,20.09,11.04,18.02,02,01}
@data
0.15,-0.327917,0.07,-0.01,0.77,-0.21,-0.16,0.09,-0.04,-0.28,0.31,0.59,-0.09,0.03,0.57,-0.77,-0.55,-0.07,-0.01,0.49,0.66,0.03,0.3,-0.12,0.24,-0.24,-0.32,0.04,11.02.03.01
-0.12,-0.54,-0.18,-0.16,0.09,0.22,-0.109565,0.08,0.25,0.55,-1.35,-0.39,0.14,0.65,0.25,0.3,0.2,0.21,-0.11,-0.08,-0.22,-0.07,-0.3,-0.35,0.07,0.21,-0.16,0.01,32.01
-0.22,-0.86,0.89,-0.24,-0.1,0.22,0.13,-0.24,-0.09,0.49,-0.01,-0.48,0.54,0.08,0.57,-0.66,0.57,0.64,0.54,-0.01,0.11,0.71,-1.16,-0.71,-0.71,-0.75,1.49,0.29,20.01
0.06,-0.06,0.14,0.02,0.69,-0.22,0.234706,0.265882,0.17,0.21,-0.2,-0.22,-0.1,1.92,-0.32,0.1,0.43,0.07,-0.17,-0.07,0.23625,-0.33,-0.51,-0.08,-0.15,0.43,-0.05,-0.3,12.04.01
0.08,-0.45,-0.36,-0.16,0.22,-0.01,-0.246,0.27,-0.13,-0.04,-0.09,-0.16,-0.14,0.46,0.2,0.17,0.1,-0.22,-0.15,-0.02,0.19,0.18,-0.05,-0.01,-0.4,0.17,0.09,-0.03,10.03.01.01
-0.81,-0.79,0.03,0.06,0.36,0.16,1.2,1.32,0.27,0.07,-0.27,-0.67,-0.15,0.28,-0.25,0.39,0.51,0.22,-0.19,-0.28,0.0365672,-0.21,-0.88,-0.08,-0.19625,1.2,0.16,-0.01,42.01
1.56,0.96,-0.34,-0.02,0.15,-0.1,0.194,0.23,0.22,-0.28,-0.23,0.11,0.15,0.33,-0.08,-0.38,0.01,-0.27,0.38,0.5,0.87,-1.08,0.37,-0.12,-0.63,-0.4,0.07,0.43,10.01.09.05
0.3,0.0375,-0.3,0.13,-0.13,0.26,0.17,0.26,1.07,0.4,-0.39,0.16,-0.18,-0.2,0.94,-1.03,-0.0209375,-0.07375,-2.03,0.0157143,0.00894737,1.67,-0.2,-0.2,-0.22,-0.28,-0.09,0.27,12.10
-0.54,-0.29,-0.27,-0.01,0.46,-0.12,0.134063,0.304242,0.62,0.67,0.16,-0.01,0.33,0.69,0.17,-0.3,0.28,0.16,-0.22,-0.06,-0.11,-0.07,-0.01,-0.07,-0.26,0.01,-0.17,-0.2,11.04.03.01
-0.71,-0.07,0.21,0.28,0.21,0.44,-0.309429,0.85,0.1,0.54,-0.55,-0.29,-0.24,0.59,-0.89,-0.25,0.19,0.1,-0.24,0.12,0.21,-0.05,-0.73,0.02,0.04,0.72,0.18,-0.45,34.11.03.07
