@relation 'cellcycle0.names'
@attribute cln3-1                                  numeric
@attribute cln3-2                                  numeric
@attribute clb2-2                                  numeric
@attribute clb2-1                                  numeric
@attribute alpha0                                  numeric
@attribute alpha7                                  numeric
@attribute alpha14                                 numeric
@attribute alpha21                                 numeric
@attribute alpha28                                 numeric
@attribute alpha35                                 numeric
@attribute alpha42                                 numeric
@attribute alpha49                                 numeric
@attribute alpha56                                 numeric
@attribute alpha63                                 numeric
@attribute alpha70                                 numeric
@attribute alpha77                                 numeric
@attribute alpha84                                 numeric
@attribute alpha91                                 numeric
@attribute alpha98                                 numeric
@attribute alpha105                                numeric
@attribute alpha112                                numeric
@attribute alpha119                                numeric
@attribute cdc15_10                                numeric
@attribute cdc15_30                                numeric
@attribute cdc15_50                                numeric
@attribute cdc15_70                                numeric
@attribute cdc15_80                                numeric
@attribute cdc15_90                                numeric
@attribute cdc15_100                               numeric
@attribute cdc15_110                               numeric
@attribute cdc15_120                               numeric
@attribute cdc15_130                               numeric
@attribute cdc15_140                               numeric
@attribute cdc15_150                               numeric
@attribute cdc15_160                               numeric
@attribute cdc15_170                               numeric
@attribute cdc15_180                               numeric
@attribute cdc15_190                               numeric
@attribute cdc15_200                               numeric
@attribute cdc15_210                               numeric
@attribute cdc15_220                               numeric
@attribute cdc15_230                               numeric
@attribute cdc15_240                               numeric
@attribute cdc15_250                               numeric
@attribute cdc15_270                               numeric
@attribute cdc15_290                               numeric
@attribute cdc28_0                                 numeric
@attribute cdc28_10                                numeric
@attribute cdc28_20                                numeric
@attribute cdc28_30                                numeric
@attribute cdc28_40                                numeric
@attribute cdc28_50                                numeric
@attribute cdc28_60                                numeric
@attribute cdc28_70                                numeric
@attribute cdc28_80                                numeric
@attribute cdc28_90                                numeric
@attribute cdc28_100                               numeric
@attribute cdc28_110                               numeric
@attribute cdc28_120                               numeric
@attribute cdc28_130                               numeric
@attribute cdc28_140                               numeric
@attribute cdc28_150                               numeric
@attribute cdc28_160                               numeric
@attribute elu0                                    numeric
@attribute elu30                                   numeric
@attribute elu60                                   numeric
@attribute elu90                                   numeric
@attribute elu120                                  numeric
@attribute elu150                                  numeric
@attribute elu180                                  numeric
@attribute elu210                                  numeric
@attribute elu240                                  numeric
@attribute elu270                                  numeric
@attribute elu300                                  numeric
@attribute elu330                                  numeric
@attribute elu360                                  numeric
@attribute elu390                                  numeric
@attribute class {11.02.03.01,01.04,43.01.03.09,32.01,12.04.01,14.10,20.09.07.03,16.03.03,42.01,01.05,20.03,01.03.01.03,10.01.09.05,11.02.03.04,12.10,01.05.25,16.19.03,11.04.03.01,34.11.03.07,14.04,16.01,43.01.03.05,42.16,12.01.01,01.07.01,20.09.07,32.07,01.05.02.07,01.06,20.09.04,20.01.13,01.06.02.01,11.06.02,10.01.05.01,20.09.13,14.07.02.02,12.07,14.13,10.03.01,10,16.03.01,42.04,34.01.01.01,01.01,11,20.01.01.01,20.01.03,11.04.01,01.03.01,14.07.11,20.09.18,20.01.07,20.01.15,14.01,01.06.06.11,14.13.01.01,10.03.02,20.01.10,01.02,99,32.01.01,14.13.01,02.13.03,14.07.05,01.03.04,16.21.07,14.07,40.01,12.04,10.01.05,42.10,10.03.01.01,01.01.06,10.03.04,01.01.09,20.01,20.09,11.04,18.02,02,01}

@data
-0.18,-1.03,-0.45,0.18,0.06,0.03,-0.16,-0.41,0.06,-0.56,0.04,0.13,-0.06,0.39,-0.28,0.37,0.04,-0.01,-0.21,0.61,-0.24,0.19,-0.21,-0.23,-0.16,-0.14,0.7,-0.43,0.32,-0.16,0.59,-0.18,0.37,-0.31,0.54,-0.76,0.37,-0.0825,0.1,-0.37,0.49,0.46,0.04,-0.29,-0.35,-0.39,-0.31,-0.5,-0.08,-0.0378767,0.12,-0.3,0.55,0.01,-0.02,0.43,-0.03,-0.04,0.31,0.0572674,0.15,-0.17,-0.11,-0.64,-0.51,-0.0752055,0.18,-0.09,-0.17,0.15,-0.05,0.4,0.8,-0.11,0.25,-0.59,0.39,01.04
-1.18,-0.97,-0.43,0.11,0.36,-0.02,0.19,-0.45,0.06,0.23,-0.13,-0.08,0.17,0.13,0.09,-0.16,-0.18,-0.41,0.21,0.04,0.09,-0.15,0.74,0.34,-0.24,-0.14,-1.22,-0.16,-0.21,0.2,-0.47,0.35,0.11,0.52,-0.48,-0.13,-0.26,-0.03,-0.2,0.11,-0.05,0.34,-0.41,0.52,0.29,0.43,0.83,0.1,-0.31,-0.49,0.06,-0.67,-0.01,0,-0.1,0.68,0.33,0.13,-0.29,0.148286,-0.23,-0.33,0.33,-0.2,-0.1,-0.55,0.32,0.13,-0.34,-0.55,0.1,0.25,0.18,-0.05,0.27,0.49,0.04,14.10
1.02,-1.25,-0.22,-0.0897802,0,0.29,0.25,0.27,0.2,0.07,0.27,0.23,0.02,-0.36,-0.2,-0.32,0.17,-0.66,0.08,-0.18,-0.26,0.14,-0.37,-0.13,-0.22,-0.33,0.77,-0.75,-0.37,-0.51,0.66,-0.44,0.6,-0.55,0.92,-1.06,0.67,-0.0680952,0.84,-0.75,0.67,0.72,1.36,-0.6,-0.44,-0.68,1.33,-0.29,0.2,0.08,-0.06,-0.42,-0.2,-0.39,-0.36,0.56,-0.04,0.18,0,-0.23,-0.38,0.000470588,0.0187059,-1.5,0.41,-0.5,-0.22,-1.35,-1.39,-0.39,0.68,1.11,0.77,-0.33,0.85,1.17,0.68,42.01
0.83,-0.76,-0.22,1.14,-0.26,-0.04,0.06,-0.2,-0.01,0.03,-0.01,-0.18,-0.18,0.41,-0.2,0.32,0.2,0.08,-0.04,0.4,-0.42,0.03,-0.85,-0.31,-0.54,-0.3,0.73,-0.68,0.42,-0.68,0.43,-0.11,0.32,-0.46,0.15,-0.25,0.79,-0.0747101,-0.06,-0.56,0.42,0.69,1.18,-0.21,-0.14,0.02,0.24,-0.65,-0.22,0.06,0.51,-0.12,-0.33,-0.11,0,0.32,0.23,0.23,0.16,0.0399099,-0.17,-0.21,0.04,-0.82,-0.17,-0.16,-0.11,-0.76,-0.54,-0.31,0.57,0.66,0.41,-0.16,0.52,0.66,0.21,01.05
0.41,-0.56,-0.58,-0.29,0.15,0.03,-0.41,-0.05,0.06,-0.14,-0.02,0.19,-0.01,0,0.12,0.03,-0.19,-0.19,0.41,-0.02,0.07,-0.01,-0.403333,0.15,0.27,-0.01,0.56,-0.4,0.25,-0.42,0.06,-0.15,0.69,-0.25,0.4,-0.08,0.36,-0.67,0.37,-0.67,0.6,0.29,0.75,-0.69,-0.64,-0.78,-0.48,0.04,0.71,0.13,0.37,0.52,0.2,0.09,-0.34,-0.26,-0.03,0,0.29,0.145,-0.36,-0.28,-0.6,1.57,-0.52,0.04,0.05,0.15,0.22,0.12,-0.28,0.16,0.01,-0.2,-0.28,-0.47,-0.56,42.04
-0.45,0.32,-0.07,-1.69,0.07,-0.02,-0.01,-0.13,0.09,-0.32,0.07,-0.04,-0.13,-0.32,-0.01,0.06,0.1,0.01,0.21,0.28,-0.02,0.09,-0.0577124,-0.025414,-0.0236943,-0.31,0.53,-0.5,0.19,-0.56,0.33,-0.37,0.4,-0.03,0.64,-0.18,-0.08,-0.0485161,-0.15,-0.31,0.2,0.05,0.42,-0.26,0.0346154,0.0552201,0.21,-0.58,0.13,0.19,0.05,-0.45,0.3,-0.16,-0.13,0.2,0.12,0.11,0.0202516,0.01,0.5,-0.32,-0.16,-0.06,-0.17,-0.22,0.19,0.15,-0.27,-0.13,-0.02,0.17,0.04,-0.2,0.24,0.24,0.04,14.04
-0.58,-0.18,0.2,0.01,0.06,-0.07,0.07,-0.27,-0.17,-0.48,-0.04,0.03,-0.01,0.06,0.27,0.25,-0.01,-0.19,0.18,0.28,-0.15,0.2,-0.00844961,0.0514885,-0.0166284,-0.0337354,-0.116275,-0.0932171,-0.0674409,-0.020814,-0.194783,0.0571984,-0.161535,0.0961111,-0.200866,0.0603516,-0.0293117,-0.0344574,-0.053125,0.00596899,0.0028629,0.175415,0.163586,0.158598,0.0944275,0.149015,0.26,-0.89,-0.3,-0.6,0.28,-0.49,0.04,0.07,-0.04,0.58,0.38,0.4,-0.00847656,-0.07,-0.08,-0.03,0.49,0.61,0.1,-0.01,0.13,-0.53,-0.48,-0.51,-0.04,0.1,0.04,-0.37,0.53,0.34,0.09,16.01
0.54,0.32,-0.74,-0.06,-0.43,0.15,0.3,0.05,0.07,-0.02,0.33,0.26,-0.41,0.03,-0.4,0.03,0.05,0.2,-0.16,0.37,-0.31,-0.08,-0.09,0.07,0.49,0.48,0.64,0.23,0.12,-0.36,-0.28,-0.09,-0.42,0.23,-0.4,0.42,-0.13,0.35,0.06,-0.04,-0.14,-0.54,-0.2,-0.3,-0.06,-0.06,-0.86,-1.26,0.17,0.56,1.23,0.66,0.31,-0.34,-0.28,-1.46,-0.14,0.56,0.76,0.43,0.01,-0.01,-0.33,-0.31,-0.56,0.1,-0.06,-0.03,-0.14,0.32,0.24,0.66,0.65,-0.06,0.3,-1.27,0.14,10.03.01.01
-1.09,-0.15,0.04,-0.22,0.09,-0.1,-0.02,-0.02,-0.24,-0.29,0.1,0.05,-0.07,-0.25,0.37,-0.17,-0.08,-0.29,0.26,0.47,-0.14,0.33,-0.0663878,-0.0112687,-0.0415985,-0.23,0.41,-0.1,0.39,-0.06,0.39,-0.23,-0.02,-0.19,0.24,-0.34,0.19,-0.0825,0.13,-0.16,0.12,0.16,-0.29,-0.42,-0.0493077,-0.0774074,-0.18,-0.08,0.35,0,0.08,-0.32,0.21,0.07,-0.15,0.69,-0.01,0.06,-0.12,0.0572674,0.01,-0.76,0.16,0.16,0.06,0.15,0.29,0.45,0.26,0.18,0.04,-0.13,0.01,-0.49,-0.3,-0.46,-0.23,01.04
-0.07,-0.94,-0.58,-0.38,-0.24,-0.26,0.1,-0.1,-0.13,-0.2,0.01,0.44,0.04,-0.07,0.1,0.32,-0.22,-0.2,-0.1,0.38,0,0.12,-0.160448,-0.066,-0.0201471,-0.0744118,-0.0836364,-0.0833333,0.52,0.00940299,-0.13403,0.0176119,-0.123134,0.157692,-0.0977612,0.112308,0.0141538,-0.0476923,-0.0523438,-0.0119403,0.0384848,0.122537,0.169077,-0.52,0.0262121,0.148382,0.04,-0.32,-0.71,-0.32,-0.46,-0.07,0.68,0.33,0.1,0.167183,-0.46,-0.19,0.29,0.84,0.24,0.094,0.187143,-0.29,0.14,0.12,0.29,0.16,-0.06,-0.06,0.02,0.02,0.04,-0.22,0.05,-0.27,0.07,14.10
