@relation 'cellcycle0.names'
@attribute cln3-2                                  numeric
@attribute alpha7                                  numeric
@attribute alpha98                                 numeric
@attribute alpha105                                numeric
@attribute cdc15_10                                numeric
@attribute cdc15_30                                numeric
@attribute cdc15_90                                numeric
@attribute cdc15_120                               numeric
@attribute cdc15_150                               numeric
@attribute cdc15_160                               numeric
@attribute cdc15_180                               numeric
@attribute cdc15_200                               numeric
@attribute cdc15_230                               numeric
@attribute cdc28_60                                numeric
@attribute cdc28_90                                numeric
@attribute cdc28_120                               numeric
@attribute cdc28_130                               numeric
@attribute cdc28_160                               numeric
@attribute elu30                                   numeric
@attribute elu90                                   numeric
@attribute elu120                                  numeric
@attribute elu150                                  numeric
@attribute elu210                                  numeric
@attribute elu300                                  numeric
@attribute elu360                                  numeric
@attribute elu390                                  numeric
@attribute class {11.02.03.01,01.04,43.01.03.09,32.01,12.04.01,14.10,20.09.07.03,16.03.03,42.01,01.05,20.03,01.03.01.03,10.01.09.05,11.02.03.04,12.10,01.05.25,16.19.03,11.04.03.01,34.11.03.07,14.04,16.01,43.01.03.05,42.16,12.01.01,01.07.01,20.09.07,32.07,01.05.02.07,01.06,20.09.04,20.01.13,01.06.02.01,11.06.02,10.01.05.01,20.09.13,14.07.02.02,12.07,14.13,10.03.01,10,16.03.01,42.04,34.01.01.01,01.01,11,20.01.01.01,20.01.03,11.04.01,01.03.01,14.07.11,20.09.18,20.01.07,20.01.15,14.01,01.06.06.11,14.13.01.01,10.03.02,20.01.10,01.02,99,32.01.01,14.13.01,02.13.03,14.07.05,01.03.04,16.21.07,14.07,40.01,12.04,10.01.05,42.10,10.03.01.01,01.01.06,10.03.04,01.01.09,20.01,20.09,11.04,18.02,02,01}
@data
-1.03,0.03,-0.21,0.61,-0.21,-0.23,-0.43,0.59,-0.31,0.54,0.37,0.1,0.46,0.55,0.43,0.31,0.0572674,-0.11,-0.51,0.18,-0.09,-0.17,-0.05,-0.11,-0.59,0.39,01.04
-0.97,-0.02,0.21,0.04,0.74,0.34,-0.16,-0.47,0.52,-0.48,-0.26,-0.2,0.34,-0.01,0.68,-0.29,0.148286,0.33,-0.1,0.32,0.13,-0.34,0.1,-0.05,0.49,0.04,14.10
-1.25,0.29,0.08,-0.18,-0.37,-0.13,-0.75,0.66,-0.55,0.92,0.67,0.84,0.72,-0.2,0.56,0,-0.23,0.0187059,0.41,-0.22,-1.35,-1.39,0.68,-0.33,1.17,0.68,42.01
-0.76,-0.04,-0.04,0.4,-0.85,-0.31,-0.68,0.43,-0.46,0.15,0.79,-0.06,0.69,-0.33,0.32,0.16,0.0399099,0.04,-0.17,-0.11,-0.76,-0.54,0.57,-0.16,0.66,0.21,01.05
-0.56,0.03,0.41,-0.02,-0.403333,0.15,-0.4,0.06,-0.25,0.4,0.36,0.37,0.29,0.2,-0.26,0.29,0.145,-0.6,-0.52,0.05,0.15,0.22,-0.28,-0.2,-0.47,-0.56,42.04
0.32,-0.02,0.21,0.28,-0.0577124,-0.025414,-0.5,0.33,-0.03,0.64,-0.08,-0.15,0.05,0.3,0.2,0.0202516,0.01,-0.16,-0.17,0.19,0.15,-0.27,-0.02,-0.2,0.24,0.04,14.04
-0.18,-0.07,0.18,0.28,-0.00844961,0.0514885,-0.0932171,-0.194783,0.0961111,-0.200866,-0.0293117,-0.053125,0.175415,0.04,0.58,-0.00847656,-0.07,0.49,0.1,0.13,-0.53,-0.48,-0.04,-0.37,0.34,0.09,16.01
0.32,0.15,-0.16,0.37,-0.09,0.07,0.23,-0.28,0.23,-0.4,-0.13,0.06,-0.54,0.31,-1.46,0.76,0.43,-0.33,-0.56,-0.06,-0.03,-0.14,0.24,-0.06,-1.27,0.14,10.03.01.01
-0.15,-0.1,0.26,0.47,-0.0663878,-0.0112687,-0.1,0.39,-0.19,0.24,0.19,0.13,0.16,0.21,0.69,-0.12,0.0572674,0.16,0.06,0.29,0.45,0.26,0.04,-0.49,-0.46,-0.23,01.04
-0.94,-0.26,-0.1,0.38,-0.160448,-0.066,-0.0833333,-0.13403,0.157692,-0.0977612,0.0141538,-0.0523438,0.122537,0.68,0.167183,0.29,0.84,0.187143,0.14,0.29,0.16,-0.06,0.02,-0.22,-0.27,0.07,14.10
-0.86,0.09,0.01,-0.16,-0.8,-0.18,0.08,-0.39,0.06,0.24,0.44,-0.0183871,0.31,0.27,0.29,0.3,0.0317442,0.21,0.02,0.26,0.23,0.25,-0.22,-0.33,-0.74,-0.05,43.01.03.05
