@relation 'cellcycle0.names'
@attribute cln3-1                                  numeric
@attribute clb2-2                                  numeric
@attribute alpha0                                  numeric
@attribute alpha14                                 numeric
@attribute alpha77                                 numeric
@attribute alpha112                                numeric
@attribute alpha119                                numeric
@attribute cdc15_10                                numeric
@attribute cdc15_30                                numeric
@attribute cdc15_50                                numeric
@attribute cdc15_160                               numeric
@attribute cdc15_180                               numeric
@attribute cdc15_200                               numeric
@attribute cdc15_210                               numeric
@attribute cdc15_250                               numeric
@attribute cdc28_0                                 numeric
@attribute cdc28_10                                numeric
@attribute cdc28_50                                numeric
@attribute cdc28_60                                numeric
@attribute cdc28_80                                numeric
@attribute cdc28_110                               numeric
@attribute cdc28_120                               numeric
@attribute cdc28_140                               numeric
@attribute cdc28_150                               numeric
@attribute elu0                                    numeric
@attribute elu60                                   numeric
@attribute elu90                                   numeric
@attribute elu390                                  numeric
@attribute class {11.02.03.01,01.04,43.01.03.09,32.01,12.04.01,14.10,20.09.07.03,16.03.03,42.01,01.05,20.03,01.03.01.03,10.01.09.05,11.02.03.04,12.10,01.05.25,16.19.03,11.04.03.01,34.11.03.07,14.04,16.01,43.01.03.05,42.16,12.01.01,01.07.01,20.09.07,32.07,01.05.02.07,01.06,20.09.04,20.01.13,01.06.02.01,11.06.02,10.01.05.01,20.09.13,14.07.02.02,12.07,14.13,10.03.01,10,16.03.01,42.04,34.01.01.01,01.01,11,20.01.01.01,20.01.03,11.04.01,01.03.01,14.07.11,20.09.18,20.01.07,20.01.15,14.01,01.06.06.11,14.13.01.01,10.03.02,20.01.10,01.02,99,32.01.01,14.13.01,02.13.03,14.07.05,01.03.04,16.21.07,14.07,40.01,12.04,10.01.05,42.10,10.03.01.01,01.01.06,10.03.04,01.01.09,20.01,20.09,11.04,18.02,02,01}
@data
0.15,-0.22,-0.15,-0.21,0.42,-0.21,0.43,-0.16,0.09,-0.23,0.31,0.34,-0.09,-0.44,0,-0.19,-0.77,-0.36,-0.55,-0.01,0.49,0.85,-0.24,0.03,0.3,0.24,0.18,0.04,11.02.03.01
-1.22,-0.1,-0.14,0.1,0.29,-0.08,0.33,-0.37,-0.22,-0.16,0.03,0.48,0.22,-0.06,-0.47,-0.36,-0.22,-0.8,0.42,-0.47,0.38,-0.22,0.89,0.48,-1.54,-0.24375,0.39,0.02,12.04
-0.6,0.24,-0.05,-0.47,0.28,-0.24,0.22,-0.43,-1.33,-1.53,-0.19,0.52,1.18,0.88,1.43,1.55,1.58,-0.8,-0.16,-0.9,-0.53,-0.66,-0.27,-0.41,-0.09,-0.0752055,0.25,0.65,01.04
0.25,-0.22,-0.03,0.17,0.36,0.23,-0.06,-0.236667,-0.02,0,-0.13,0.16,0.29,0.04,0,0.39,-0.87,-0.73,0.28,0.1,0.5,0.33,0.045,-0.35,0.49,0.06,0.32,0.15,43.01.03.09
-0.12,-0.12,0,0.12,-0.16,0.22,0,-0.109565,0.08,0.11,-1.35,0.42,0.14,0.08,-0.16,0.26,0.3,-0.4,0.2,-0.11,-0.08,0.04,0.0310811,-0.07,-0.3,0.07,0.09,0.01,32.01
-0.22,-0.25,-0.36,0.29,0.22,0.22,0.61,0.13,-0.24,-0.59,-0.01,-0.4,0.54,-0.09,-0.26,-0.63,-0.66,-0.89,0.57,0.54,-0.01,-0.26,0.04,0.71,-1.16,-0.71,-0.24,0.29,20.01
-0.18,-0.45,0.06,-0.16,0.37,-0.24,0.19,-0.21,-0.23,-0.16,0.54,0.37,0.1,-0.37,-0.29,-0.31,-0.5,-0.3,0.55,-0.02,-0.04,0.31,0.15,-0.17,-0.64,-0.0752055,0.18,0.39,01.04
0.06,-0.14,-0.35,-0.6,0.52,-0.22,0.34,0.234706,0.265882,0.185882,-0.2,-0.28,-0.1,-0.24,-1.63,-0.88,0.1,-0.18,0.43,-0.17,-0.07,-0.02,0.25,-0.33,-0.51,-0.15,0.36,-0.3,12.04.01
-1.18,-0.43,0.36,0.19,-0.16,0.09,-0.15,0.74,0.34,-0.24,-0.48,-0.26,-0.2,0.11,0.52,0.83,0.1,-0.67,-0.01,-0.1,0.13,-0.29,-0.23,-0.33,-0.2,-0.55,0.32,0.04,14.10
-0.42,-0.42,-0.26,-0.06,0.08,0.17,0.11,-0.06,-0.15,-0.03,-0.01,-0.17,0.11,0.27,0.14,0,-0.17,-0.73,-0.04,-0.2,0.06,-0.04,0.0358824,0.05,-0.6,-0.48,-0.07,0.11,20.09.07.03
0,-0.51,0,0.05,-0.42,-0.16,-0.05,0.176981,0.13,-0.02,-0.12,-0.09,0.28,-0.05,-0.41,0.09,-0.35,-0.48,-0.08,0.12,-0.15,-0.11,-0.02,-0.25,0.04,-0.19,0.42,0.35,16.03.03
0.08,-0.71,-0.2,0.29,0.05,-0.01,0.01,-0.246,0.27,0.26,-0.09,0.29,-0.14,-0.21,0.18,-0.26,0.17,-0.35,0.1,-0.15,-0.02,0,0.01,0.18,-0.05,-0.4,-0.05,-0.03,10.03.01.01
1.02,-0.22,0,0.25,-0.32,-0.26,0.14,-0.37,-0.13,-0.22,0.92,0.67,0.84,-0.75,-0.6,1.33,-0.29,-0.42,-0.2,-0.36,0.18,0,-0.38,0.000470588,-1.5,-0.5,-0.22,0.68,42.01
-0.81,-0.14,0.12,-0.9,0.24,0.16,0.44,1.2,1.32,0.74,-0.27,-0.31,-0.15,-0.07,-0.24,-0.81,0.39,-0.15,0.51,-0.19,-0.28,-0.43,0.18,-0.21,-0.88,-0.19625,-0.08,-0.01,42.01
-0.34,-0.67,-0.39,0.28,0.07,0.26,0.19,-0.85,-0.41,-0.64,0.73,0.61,0.29,-0.68,-0.03,-0.18,-0.43,-0.12,-0.16,0.09,0.25,0.19,-0.06,-0.25,1.57,-0.0776821,0.67,1.07,01.05
-0.89,0.77,0,0,0.27,0.15,-0.04,-0.0647126,0.0220225,-0.0563636,-0.07,0.02,0,-0.31,-0.3,1.61,1.46,-0.03,-0.05,-0.34,-0.38,-0.43,-1.24,-0.57,1.03,-0.19625,0.5,-0.08,42.01
-1.29,0.21,0,0.06,0.09,0.17,0.04,0.102727,0.285455,0.163636,-0.05,-0.02,-0.04,0.09,0.25,-0.13,-0.29,-0.15,0.21,-0.36,-0.15,-0.13,-0.05,-0.22,-0.13,-0.232727,0.09,-0.14,01.03.01.03
0.26,0.03,0.18,0,-0.07,-0.2,-0.36,-0.0663878,-0.0112687,-0.49,-0.02,0.37,0.15,-0.39,-0.49,0.55,-0.29,-0.81,-0.21,0.16,0.25,0.17,0.04,0.0457455,0.62,0,0.15,0.19,01.04
1.56,-0.38,-0.04,0.17,0.27,-0.1,-0.1,0.194,0.23,-0.02,-0.23,-0.36,0.15,-0.23,0.33,1.01,-0.38,-2.08,0.01,0.38,0.5,0.01,0.31,-1.08,0.37,-0.63,-0.33,0.43,10.01.09.05
1.3,-0.3,-1.61,-1.09,-0.16,0.05,-0.09,-1.29,-0.83,1.26,1.24,1.33,0.3,0.06,-0.81,-0.82,-1.21,-0.53,0.09,-0.78,-0.0591351,0.15,0.85,0.3,-1.63,0.04,-0.94,-0.59,11.02.03.04
0.43,-0.32,-0.48,0.08,0.21,0.32,0.04,0.28,0.27,-0.1,-0.06,0.06,0.11,0.11,0.22,-0.74,-0.08,-0.04,0.22,-0.01,-0.07,0.12,0.00578947,0.12,-0.83,-0.51,-0.56,0.08,20.03
0.3,-0.150625,-0.24,0.07,0.04,0.26,0.37,0.17,0.26,0.38,-0.39,0.04,-0.18,0.4,-0.68,1.29,-1.03,-0.14125,-0.0209375,-2.03,0.0157143,0.07,0.0485185,1.67,-0.2,-0.22,-0.26,0.27,12.10
0.83,-0.22,-0.26,0.06,0.32,-0.42,0.03,-0.85,-0.31,-0.54,0.15,0.79,-0.06,-0.56,-0.21,0.24,-0.65,-0.12,-0.33,0,0.23,0.16,-0.17,-0.21,-0.82,-0.16,-0.11,0.21,01.05
0.36,-0.1,-0.34,-0.06,0.24,-0.13,0.33,-0.293636,0.0954545,-0.0861905,-0.0705,0.200476,0.0527778,-0.126364,-0.77,-0.25,-0.09,-0.11,-0.22,-0.22,0.04,-0.02,0.01,0.27,-0.53,-0.2,0.04,0.37,01.05.25
0.29,0.51,-0.32,0.31,0.69,-0.37,0.6,0.09,0.22,-0.5,0.04,0.22,0.13,-0.31,-0.27,-1.04,0.13,-0.32,0.21,1.07,0.01,-0.13,-0.13,0.0170588,-0.91,0.09,0.34,-0.05,16.19.03
-0.54,-0.04,0.17,-0.22,-0.02,-0.12,0.25,0.134063,0.304242,0.0381818,0.16,0.24,0.33,-0.04,-0.28,0.26,-0.3,-0.14,0.28,-0.22,-0.06,-0.27,0.26,-0.07,-0.01,-0.26,1.18,-0.2,11.04.03.01
-0.71,0.04,0.1,-0.69,0.07,0.44,0.33,-0.309429,0.85,0.51,-0.55,-0.26,-0.24,0.1,0.02,-0.35,-0.25,-0.47,0.19,-0.24,0.12,-0.22,0.0686486,-0.05,-0.73,0.04,0.59,-0.45,34.11.03.07
0.41,-0.58,0.15,-0.41,0.03,0.07,-0.01,-0.403333,0.15,0.27,0.4,0.36,0.37,-0.67,-0.69,-0.48,0.04,0.52,0.2,-0.34,0,0.29,-0.36,-0.28,1.57,0.04,0.05,-0.56,42.04
0.45,-0.81,-0.39,1.08,0.34,-0.53,-0.24,0.305,1.7,1.5,0.87,0.09,-0.13,-2.35,0.45,-0.52,0.75,-0.36,-0.5,-0.65,0.59,0.16,-0.54,-0.88,-0.59,-0.3,0.25,-0.24,10
-0.45,-0.07,0.07,-0.01,0.06,-0.02,0.09,-0.0577124,-0.025414,-0.0236943,0.64,-0.08,-0.15,-0.31,-0.26,0.21,-0.58,-0.45,0.3,-0.13,0.11,0.0202516,0.5,-0.32,-0.06,-0.22,0.19,0.04,14.04
