@relation 'cellcycle0.names'
@attribute cln3-1                                  numeric
@attribute cln3-2                                  numeric
@attribute clb2-1                                  numeric
@attribute alpha91                                 numeric
@attribute alpha105                                numeric
@attribute alpha112                                numeric
@attribute cdc15_10                                numeric
@attribute cdc15_30                                numeric
@attribute cdc15_80                                numeric
@attribute cdc15_100                               numeric
@attribute cdc15_160                               numeric
@attribute cdc15_170                               numeric
@attribute cdc15_200                               numeric
@attribute cdc15_230                               numeric
@attribute cdc15_240                               numeric
@attribute cdc28_10                                numeric
@attribute cdc28_60                                numeric
@attribute cdc28_70                                numeric
@attribute cdc28_80                                numeric
@attribute cdc28_110                               numeric
@attribute cdc28_130                               numeric
@attribute cdc28_150                               numeric
@attribute elu0                                    numeric
@attribute elu30                                   numeric
@attribute elu60                                   numeric
@attribute elu120                                  numeric
@attribute elu300                                  numeric
@attribute elu390                                  numeric
@attribute class {11.02.03.01,01.04,43.01.03.09,32.01,12.04.01,14.10,20.09.07.03,16.03.03,42.01,01.05,20.03,01.03.01.03,10.01.09.05,11.02.03.04,12.10,01.05.25,16.19.03,11.04.03.01,34.11.03.07,14.04,16.01,43.01.03.05,42.16,12.01.01,01.07.01,20.09.07,32.07,01.05.02.07,01.06,20.09.04,20.01.13,01.06.02.01,11.06.02,10.01.05.01,20.09.13,14.07.02.02,12.07,14.13,10.03.01,10,16.03.01,42.04,34.01.01.01,01.01,11,20.01.01.01,20.01.03,11.04.01,01.03.01,14.07.11,20.09.18,20.01.07,20.01.15,14.01,01.06.06.11,14.13.01.01,10.03.02,20.01.10,01.02,99,32.01.01,14.13.01,02.13.03,14.07.05,01.03.04,16.21.07,14.07,40.01,12.04,10.01.05,42.10,10.03.01.01,01.01.06,10.03.04,01.01.09,20.01,20.09,11.04,18.02,02,01}
@data
-1.22,-0.27,0.23,0.04,0.55,-0.08,-0.37,-0.22,0.53,0.08,0.03,0.03,0.22,0.56,0.48,-0.22,0.42,0.05,-0.47,0.38,0.47,0.48,-1.54,-0.3,-0.24375,0.18,-0.27,0.02,12.04
-0.6,1.01,0.65,-0.18,0.68,-0.24,-0.43,-1.33,-0.37,-0.71,-0.19,-0.84,1.18,2.24,2.34,1.58,-0.16,-0.61,-0.9,-0.53,0.0572674,-0.41,-0.09,-0.02,-0.0752055,-0.45,-0.43,0.65,01.04
0.25,-0.79,-0.54,0,0.46,0.23,-0.236667,-0.02,0.14,0.23,-0.13,-1.38,0.29,-0.21,0.29,-0.87,0.28,0.25,0.1,0.5,0.06,-0.35,0.49,0.23,0.06,0.12,-0.07,0.15,43.01.03.09
-0.18,-1.03,0.18,-0.01,0.61,-0.24,-0.21,-0.23,0.7,0.32,0.54,-0.76,0.1,0.46,0.04,-0.5,0.55,0.01,-0.02,-0.04,0.0572674,-0.17,-0.64,-0.51,-0.0752055,-0.09,-0.11,0.39,01.04
-1.18,-0.97,0.11,-0.41,0.04,0.09,0.74,0.34,-1.22,-0.21,-0.48,-0.13,-0.2,0.34,-0.41,0.1,-0.01,0,-0.1,0.13,0.148286,-0.33,-0.2,-0.1,-0.55,0.13,-0.05,0.04,14.10
-0.42,-0.34,0.31,-0.06,0.11,0.17,-0.06,-0.15,-0.06,-0.67,-0.01,0.06,0.11,-0.29,-0.29,-0.17,-0.04,0.21,-0.2,0.06,-0.21,0.05,-0.6,-0.27,-0.48,-0.19,0.06,0.11,20.09.07.03
0,-0.3,-0.18,-0.16,0.12,-0.16,0.176981,0.13,0.21,0.12,-0.12,-0.02,0.28,0.17,0.27,-0.35,-0.08,0.4,0.12,-0.15,0.0378049,-0.25,0.04,-0.06,-0.19,0.1,-0.44,0.35,16.03.03
1.02,-1.25,-0.0897802,-0.66,-0.18,-0.26,-0.37,-0.13,0.77,-0.37,0.92,-1.06,0.84,0.72,1.36,-0.29,-0.2,-0.39,-0.36,0.18,-0.23,0.000470588,-1.5,0.41,-0.5,-1.35,-0.33,0.68,42.01
-0.34,-1.12,0.24,-0.17,0.37,0.26,-0.85,-0.41,0.53,0.42,0.73,-0.56,0.29,0.36,1.49,-0.43,-0.16,-0.12,0.09,0.25,0.22,-0.25,1.57,0.13,-0.0776821,-0.61,-1.39,1.07,01.05
-0.89,-0.94,-0.04,-0.29,0.6,0.15,-0.0647126,0.0220225,0.53,0.2,-0.07,-0.27,0,0.33,0.49,1.46,-0.05,-0.43,-0.34,-0.38,-0.03,-0.57,1.03,0.25,-0.19625,-0.06,-0.76,-0.08,42.01
