@relation 'cellcycle0.names'
@attribute cln3-2                                  numeric
@attribute alpha7                                  numeric
@attribute alpha98                                 numeric
@attribute alpha105                                numeric
@attribute cdc15_10                                numeric
@attribute cdc15_30                                numeric
@attribute cdc15_90                                numeric
@attribute cdc15_120                               numeric
@attribute cdc15_150                               numeric
@attribute cdc15_160                               numeric
@attribute cdc15_180                               numeric
@attribute cdc15_200                               numeric
@attribute cdc15_230                               numeric
@attribute cdc28_60                                numeric
@attribute cdc28_90                                numeric
@attribute cdc28_120                               numeric
@attribute cdc28_130                               numeric
@attribute cdc28_160                               numeric
@attribute elu30                                   numeric
@attribute elu90                                   numeric
@attribute elu120                                  numeric
@attribute elu150                                  numeric
@attribute elu210                                  numeric
@attribute elu300                                  numeric
@attribute elu360                                  numeric
@attribute elu390                                  numeric
@attribute class {11.02.03.01,01.04,43.01.03.09,32.01,12.04.01,14.10,20.09.07.03,16.03.03,42.01,01.05,20.03,01.03.01.03,10.01.09.05,11.02.03.04,12.10,01.05.25,16.19.03,11.04.03.01,34.11.03.07,14.04,16.01,43.01.03.05,42.16,12.01.01,01.07.01,20.09.07,32.07,01.05.02.07,01.06,20.09.04,20.01.13,01.06.02.01,11.06.02,10.01.05.01,20.09.13,14.07.02.02,12.07,14.13,10.03.01,10,16.03.01,42.04,34.01.01.01,01.01,11,20.01.01.01,20.01.03,11.04.01,01.03.01,14.07.11,20.09.18,20.01.07,20.01.15,14.01,01.06.06.11,14.13.01.01,10.03.02,20.01.10,01.02,99,32.01.01,14.13.01,02.13.03,14.07.05,01.03.04,16.21.07,14.07,40.01,12.04,10.01.05,42.10,10.03.01.01,01.01.06,10.03.04,01.01.09,20.01,20.09,11.04,18.02,02,01}
@data
-0.327917,-0.15,-0.13,0.77,-0.16,0.09,-0.12,-0.09,-0.04,0.31,0.34,-0.09,0.03,-0.55,0.03,0.85,0.66,0.09,-0.12,0.18,-0.24,0.11,0.37,-0.32,-0.48,0.04,11.02.03.01
-0.27,-0.71,0.05,0.55,-0.37,-0.22,-0.25,0.37,-0.21,0.03,0.48,0.22,0.56,0.42,1.06,-0.22,0.47,0.8,-0.3,0.39,0.18,0.28,0.4,-0.27,0.34,0.02,12.04
1.01,-0.53,-0.3,0.68,-0.43,-1.33,-1.65,-0.1,-1.15,-0.19,0.52,1.18,2.24,-0.16,-0.07,-0.66,0.0572674,0.35,-0.02,0.25,-0.45,-0.83,-0.16,-0.43,0.6,0.65,01.04
-0.79,-0.27,-0.27,0.46,-0.236667,-0.02,0.17,-0.1,0.01,-0.13,0.16,0.29,-0.21,0.28,0.06,0.33,0.06,0.44,0.23,0.32,0.12,0.12,-0.1,-0.07,-0.19,0.15,43.01.03.09
-0.54,-0.01,0.09,0.09,-0.109565,0.08,-0.04,0.33,0.16,-1.35,0.42,0.14,0.65,0.2,0.46,0.04,-0.22,0.05,-0.35,0.09,0.21,-0.4,0.12,-0.16,0.28,0.01,32.01
-0.86,-0.42,-0.22,-0.1,0.13,-0.24,-0.34,1.15,-0.28,-0.01,-0.4,0.54,0.08,0.57,0.66,-0.26,0.11,0.81,-0.71,-0.24,-0.75,-0.11,-0.01,1.49,0.51,0.29,20.01
-0.06,-0.91,0.5,0.69,0.234706,0.265882,-0.36,0.09,1.29,-0.2,-0.28,-0.1,1.92,0.43,0.58,-0.02,0.23625,0.02,-0.08,0.36,0.43,0.36,0.12,-0.05,-0.27,-0.3,12.04.01
-0.34,-0.5,0.11,0.11,-0.06,-0.15,0.41,-0.08,0.23,-0.01,-0.17,0.11,-0.29,-0.04,0.75,-0.04,-0.21,0.2,-0.27,-0.07,-0.19,0.06,0.23,0.06,0.24,0.11,20.09.07.03
-0.3,0.03,0.17,0.12,0.176981,0.13,-0.74,0.08,-0.04,-0.12,-0.09,0.28,0.17,-0.08,0.73,-0.11,0.0378049,0.09,-0.06,0.42,0.1,-0.07,-0.12,-0.44,-0.33,0.35,16.03.03
-0.45,-0.67,0.14,0.22,-0.246,0.27,0.03,-0.3,0.02,-0.09,0.29,-0.14,0.46,0.1,0.37,0,0.19,-0.09,-0.01,-0.05,0.17,-0.01,0.11,0.09,-0.12,-0.03,10.03.01.01
-0.79,-0.73,-0.23,0.36,1.2,1.32,-0.06,-0.53,-0.25,-0.27,-0.31,-0.15,0.28,0.51,0.36,-0.43,0.0365672,0.04,-0.08,-0.08,1.2,0.58,0.12,0.16,-0.41,-0.01,42.01
-1.12,0.97,0.02,0.37,-0.85,-0.41,-0.73,0.43,-0.39,0.73,0.61,0.29,0.36,-0.16,0.91,0.19,0.22,0.15,0.13,0.67,-0.61,-0.71,-0.29,-1.39,0.68,1.07,01.05
-0.94,-0.03,0,0.6,-0.0647126,0.0220225,-0.51,0.41,-0.38,-0.07,0.02,0,0.33,-0.05,-0.43,-0.43,-0.03,-1.16,0.25,0.5,-0.06,-0.26,-0.26,-0.76,-0.09,-0.08,42.01
-1.25,0.07,0.29,-0.46,-0.48,0.24,-0.66,-0.1,0.0516,0.99,1.05,0.58,0.1,0.38,-0.02,0.08,-1.66,-0.25,0.05,0.29,0.32,0.09,-0.05,0.12,-0.29,-0.39,20.03
-0.64,0.39,0.17,0.46,0.102727,0.285455,-0.53,0.29,-0.25,-0.05,-0.02,-0.04,0.49,0.21,0.05,-0.13,-0.098,0.04,0.07,0.09,0.25,-0.5,-0.04,-0.02,-0.01,-0.14,01.03.01.03
-0.29,0.03,0.07,-0.14,-0.0663878,-0.0112687,-0.7,0.51,-0.12,-0.02,0.37,0.15,0.03,-0.21,0.45,0.17,-0.61,0.0343796,0.15,0.15,0.03,-0.38,-0.19,-0.13,-0.25,0.19,01.04
0.96,-0.28,-0.04,0.15,0.194,0.23,0.14,0.04,-0.06,-0.23,-0.36,0.15,0.33,0.01,0.62,0.01,0.87,0.01,-0.12,-0.33,-0.4,-0.18,-0.17,0.07,-0.05,0.43,10.01.09.05
1.47,-2.55,1.17,1.3,-1.29,-0.83,0.13,-1.91,1.11,1.24,1.33,0.3,-1.15,0.09,-0.09,0.15,0.43,-0.14,-0.68,-0.94,-0.34,0.43,1.03,0.39,-0.06,-0.59,11.02.03.04
0.08,-0.51,0,0.47,0.28,0.27,0.17,-0.34,1.1,-0.06,0.06,0.11,0.17,0.22,0.07,0.12,0.25,-0.2,-0.77,-0.56,-0.31,0.25,0.56,0.12,0.58,0.08,20.03
0.0375,0.26,-0.13,-0.13,0.17,0.26,-0.39,0.21,0.164643,-0.39,0.04,-0.18,-0.2,-0.0209375,0.274839,0.07,0.00894737,0.29,-0.2,-0.26,-0.28,0.18,0.45,-0.09,-0.12,0.27,12.10
-0.34,-0.7,-0.1,0.1,0.12125,0.62,-0.24,0.07,0.09,0.03,0.13,-0.05,0.44,0.27,-0.1,-0.04,0.0664286,-0.17,-0.15,0.27,0.27,0.41,-0.09,-0.13,0.06,-0.09,11.02.03.01
-0.49,-0.27,-0.67,0.47,-0.293636,0.0954545,-0.264762,0.0547619,0.191,-0.0705,0.200476,0.0527778,0.0809524,-0.22,-0.09,-0.02,-0.014,0.17,-0.13,0.04,0.08,-0.01,0.23,0.04,-0.36,0.37,01.05.25
-0.38,-0.24,-0.67,0.22,0.09,0.22,-0.64,1,-0.41,0.04,0.22,0.13,1.01,0.21,0.47,-0.13,-0.78,-0.0838235,-0.6,0.34,0.17,0.21,0.28,0.13,-0.62,-0.05,16.19.03
-0.29,-0.31,0.08,0.46,0.134063,0.304242,-0.22,0.22,-0.42,0.16,0.24,0.33,0.69,0.28,0.18,-0.27,-0.11,0.02,-0.07,1.18,0.01,-0.11,0.11,-0.17,-0.26,-0.2,11.04.03.01
-0.07,-0.79,0.21,0.21,-0.309429,0.85,0.13,-0.51,0.19,-0.55,-0.26,-0.24,0.59,0.19,0.56,-0.22,0.21,0.45,0.02,0.59,0.72,0.74,0.02,0.18,-0.6,-0.45,34.11.03.07
-0.32,-0.58,-0.47,-0.05,0.305,1.7,-2.06,-0.2,1.48,0.87,0.09,-0.13,-0.13,-0.5,0.86,0.16,-0.575,-0.94,-0.72,0.25,0.79,0.7,0.36,-0.2,-0.59,-0.24,10
-0.94,0.38,0.0334444,0.35,-0.0647126,0.0220225,-0.0462222,0.0864045,0.0942857,0.0855435,0.0887778,0.0851136,-0.114835,-0.03,0.47,0.75,0.69,0.0187059,0.26,0.93,0.51,0.51,0.88,0.19,0.53,0.71,42.01
0.08,-0.2,0,-0.05,-0.0725984,-0.21,0.02,-0.5,0.17,-0.5,-0.23,-0.7,0.89,-0.01,0.84,-0.05,0.0317442,0.48,-0.19,-0.53,-0.3,0,0.28,-0.05,0.36,0.3,43.01.03.05
0.14,-0.07,0.1,0.03,0.75,0.91,-0.4,0.22,0.41,0.07,-0.19,-0.91,0.09,0.19,0.62,0.06,0.0317442,0.41,-0.27,0.16,0.38,0.19,-0.33,-0.29,-0.12,-0.04,43.01.03.05
0.07,-0.76,-0.17,0.41,-0.0577124,-0.025414,-0.0658974,-0.0716352,0.111154,-0.104277,0.0456129,0.000743243,0.0779747,0.92,-1.28,0.32,-0.43,-0.51,0.02,0.1,-0.17,-0.12,0.26,0.27,-0.32,0.2,14.04
-0.79,0.4,-0.37,-0.07,-0.00844961,-0.25,-0.36,-0.35,-0.08,-0.04,0.31,-0.02,0.64,-0.21,0.8,0.68,0.65,0.103594,0.46,-0.26,-0.75,-0.88,-0.26,-0.32,0.32,0.06,16.01
-0.74,-0.33,0.08,0.33,-0.449677,-0.450968,0.134516,0.118276,0.0183333,-0.137241,0.113214,0.00586207,0.0313793,0.16,-0.22,0.65,-0.08,0.262727,-0.81,-0.1,0,-0.04,-0.14,0.03,0.2,0.05,42.16
-0.36,0.05,0.42,0.26,0.24,0.2,-0.12,-0.01,0.62,0.1,0.24,-0.05,-0.22,0.1,0.08,0.13,-0.0329412,-0.3,-0.35,0.47,-0.18,0.37,-0.28,-0.07,-0.7,-0.18,16.01
