@relation cellcycle0.TRAIN
@attribute cln3-1 numeric
@attribute cln3-2 numeric
@attribute clb2-2 numeric
@attribute clb2-1 numeric
@attribute alpha0 numeric
@attribute alpha7 numeric
@attribute alpha14 numeric
@attribute alpha21 numeric
@attribute alpha28 numeric
@attribute alpha35 numeric
@attribute alpha42 numeric
@attribute alpha49 numeric
@attribute alpha56 numeric
@attribute alpha63 numeric
@attribute alpha70 numeric
@attribute alpha77 numeric
@attribute alpha84 numeric
@attribute alpha91 numeric
@attribute alpha98 numeric
@attribute alpha105 numeric
@attribute alpha112 numeric
@attribute alpha119 numeric
@attribute cdc15_10 numeric
@attribute cdc15_30 numeric
@attribute cdc15_50 numeric
@attribute cdc15_70 numeric
@attribute cdc15_80 numeric
@attribute cdc15_90 numeric
@attribute cdc15_100 numeric
@attribute cdc15_110 numeric
@attribute cdc15_120 numeric
@attribute cdc15_130 numeric
@attribute cdc15_140 numeric
@attribute cdc15_150 numeric
@attribute cdc15_160 numeric
@attribute cdc15_170 numeric
@attribute cdc15_180 numeric
@attribute cdc15_190 numeric
@attribute cdc15_200 numeric
@attribute cdc15_210 numeric
@attribute cdc15_220 numeric
@attribute cdc15_230 numeric
@attribute cdc15_240 numeric
@attribute cdc15_250 numeric
@attribute cdc15_270 numeric
@attribute cdc15_290 numeric
@attribute cdc28_0 numeric
@attribute cdc28_10 numeric
@attribute cdc28_20 numeric
@attribute cdc28_30 numeric
@attribute cdc28_40 numeric
@attribute cdc28_50 numeric
@attribute cdc28_60 numeric
@attribute cdc28_70 numeric
@attribute cdc28_80 numeric
@attribute cdc28_90 numeric
@attribute cdc28_100 numeric
@attribute cdc28_110 numeric
@attribute cdc28_120 numeric
@attribute cdc28_130 numeric
@attribute cdc28_140 numeric
@attribute cdc28_150 numeric
@attribute cdc28_160 numeric
@attribute elu0 numeric
@attribute elu30 numeric
@attribute elu60 numeric
@attribute elu90 numeric
@attribute elu120 numeric
@attribute elu150 numeric
@attribute elu180 numeric
@attribute elu210 numeric
@attribute elu240 numeric
@attribute elu270 numeric
@attribute elu300 numeric
@attribute elu330 numeric
@attribute elu360 numeric
@attribute elu390 numeric
@attribute class {R.11.02.03.01,R.12.04.02,R.01.04,R.43.01.03.09,R.32.01,R.20.01.17,R.12.04.01,R.14.10,R.20.09.07.03,R.16.03.03,R.10.03.01.01.11,R.42.01,R.01.05,R.20.03,R.01.03.01.03,R.10.01.09.05,R.11.02.03.04,R.12.10,R.01.05.25,R.16.19.03,R.11.04.03.01,R.34.11.03.07,R.42.04.05,R.10.01.03.05,R.14.04,R.16.01,R.43.01.03.05,R.42.16,R.12.01.01,R.01.07.01,R.20.09.07,R.32.07,R.01.03.07,R.01.05.02.07,R.01.06,R.20.09.04,R.20.01.13,R.01.06.02.01,R.20.01.27,R.11.06.02,R.14.07.02,R.10.01.05.01,R.20.09.13,R.14.07.02.02,R.01.01.06.06.01.03,R.12.07,R.14.13,R.10.03.01,R.10,R.16.03.01,R.42.04,R.34.01.01.01,R.01.01,R.02.01,R.11,R.20.01.01.01,R.01.05.13.01,R.20.01.03,R.01.20.15,R.11.04.01,R.01.03.01,R.14.07.11,R.20.09.18,R.42.27.03,R.10.03.01.01.09,R.20.01.07,R.42.04.03,R.20.01.15,R.01.01.06.04.02,R.14.07.04,R.20.09.16,R.14.01,R.11.02.03.04.03,R.01.06.06.11,R.14.13.01.01,R.14.07.09,R.10.03.02,R.01.07,R.20.01.10,R.01.02,R.99,R.01.01.06.05,R.32.01.01,R.10.01.05.03,R.10.03.04.03,R.01.01.09.06.01,R.14.13.01,R.01.03.04.03,R.02.13.03,R.01.20.19,R.01.05.09.04,R.11.04.03.05,R.14.07.03,R.10.01.03,R.42.25,R.32,R.14.07.05,R.42.10.03,R.02.19,R.10.01.05.03.01,R.01.03.04,R.20.09.01,R.02.13,R.11.02.03.01.04,R.02.16.01,R.11.04.02,R.12.04.03,R.18.02.01,R.16.19,R.01.06.05,R.12,R.10.03.01.03,R.16.21.07,R.02.10,R.01.01.11.03.01,R.34.01.01.03,R.20.09.07.27,R.12.01,R.42.08,R.10.03.04.05,R.20.03.01.01,R.11.02.03.04.01,R.20.01.23,R.01.01.03.02.01,R.32.01.09,R.34.11.03.13,R.01.04.04,R.14.07,R.14.07.11.01,R.32.01.03,R.01.06.02.02,R.40.01,R.01.01.09.04.01,R.42.19,R.11.04.03,R.01.01.09.07.01,R.01.03.10,R.02.16,R.01.06.06,R.01.02.07,R.01.01.09.05,R.32.07.03,R.20.01.01.01.01,R.34.07.01,R.20.01.21,R.34.01.01,R.01.01.11.04.01,R.20.01.03.01,R.30.01,R.14,R.01.01.13,R.01.01.06.05.01,R.11.02.03.01.01,R.02.04,R.01.01.06.02.01,R.12.04,R.20.01.25,R.38,R.01.01.03.05.01,R.40.10.02.02.01,R.14.07.01,R.01.02.02.09,R.20.09.07.25,R.20.01.01.07.07,R.01.03.16.01,R.40.20,R.10.03.03,R.01.06.10,R.01.03.01.01,R.02.45,R.14.13.04,R.20.01.01.07,R.01.01.06.05.01.01,R.20.09.18.09.01,R.10.01.05,R.01.01.09.02,R.30.01.05.05.01,R.11.04.03.03,R.02.01.03,R.01.01.09.03.01,R.18.02.09,R.42.10,R.20.09.07.05,R.20.01.03.03,R.16.21.17,R.01.03.04.01,R.01.05.06.07,R.11.02.01,R.18.02.01.01.01,R.01.01.03.03.01}

@data
0.29,0.23,-0.0648,0.32,-0.24,-0.2,0.1,0.005769,0.34,-0.24,0.27,0,0.18,0.12,0,0.16,0.13,-0.39,-0.11,-0.09,0.1,-0.11,-0.38,-0.14,0.15,0.2,-0.14,0.27,0.12,0.14,0.23,0.15,-0.16,0.39,0.08,0.23,-0.11,0.23,-0.07,-0.07,0.01,-0.72,-0.14,-0.12,-0.09,-0.04,0.05,-0.24,0.19,0.14,0,-0.25,0.05,-0.28,0.17,-0.13,-0.16,0.16,0.15,0.07,0.089048,-0.12,0.22,-0.14,-0.55,-0.44,-0.17,-0.5,-0.07,0.24,0.41,0.34,0.39,-0.34,0.28,0.26,0.3,R.20.09.13
0.25,0.15,0.88,-0.17,-0.03,-0.18,-0.06,-0.14,-0.15,-0.81,0.21,0.25,0.46,-0.08,0.16,0.12,-0.1,-0.06,0.17,0,0.45,-0.2,-0.06,-0.05,0.04,0.05,-0.19,0.47,-0.19,0.54,-0.81,0.38,-0.48,0.34,-0.68,0.13,-0.76,0.34,-0.27,0.6,-0.45,0.22,-0.45,0.34,0.34,0.62,-0.31,-0.34,-0.05,0.03,0.15,-0.26,0.32,0.41,-0.12,0.71,-0.02,-0.33,-0.26,0.078235,-0.1,0.05,0.1,0,0.06,-0.25,0.18,0.13,-0.12,0.06,0.38,0.02,-0.31,0.17,0.03,-0.31,-0.02,R.20.09.13
-0.36,0.2,0.01,0.33,0,-0.61,-0.05,0.06,0.1,0.14,0.08,-0.21,-0.05,-0.06,0.13,-0.03,-0.1,0.11,0.23,0.27,0.13,-0.13,-0.317083,-0.3,-0.21,-0.04,0.04,0.1,0.01,-0.03,-0.16,-0.46,-0.22,0.13,-0.1,0.06,-0.03,0.15,-0.34,0.22,0.1,0.53,-0.15,0.27,0.19,0.25,-0.58,-0.15,-0.21,-0.35,0.2,-0.65,0,0.21,-0.19,0.83,0.16,0.09,0.077083,-0.09,0.35,0.06,0.32,0.1,-0.26,-0.15,-0.22,-0.15,-0.3,-0.34,0.08,0.42,0.24,-0.34,0.32,0.34,0.24,R.20.09.13
0.14,-0.71,0.42,0.34,-0.07,0.65,0.03,-0.36,-0.14,0.01,0.03,-0.39,0.23,0.18,-0.03,0.25,-0.05,-0.01,-0.23,-0.08,-0.03,0.01,-1.68,-1.65,-0.71,0.22,0.08,0.11,0.15,0.38,0.22,0.15,-0.37,-0.09,-0.19,0.24,0.3,-0.31,-0.2,0.15,0.45,0.68,0.77,0.39,0.43,0.46,0.06,-1.49,-1.18,-0.6,-0.29,0.07,-0.17,0.04,0.51,0.18,0.6,0.27,0.32,0.08,0.102857,0.61,1.01,-0.45,0.13,0.17,-0.15,-0.41,-0.23,-0.2,0.52,0.13,0.03,-0.16,0.26,0.24,0.1,R.42.16
0.36,-0.43,-0.12,0.18,-0.49,0.31,0.45,0.04,0.07,0.04,-0.08,0.26,-0.32,0.34,-0.03,0.01,-0.11,-0.26,-0.13,-0.24,0.26,-0.1,-1.19,-0.39,-0.21,0.35,0.33,0.43,0.92,0.67,-0.57,0.36,-0.24,-0.23,-0.16,0.17,-0.41,-0.23,-0.07,0.24,-0.16,-0.11,0.31,0.09,-0.04,0.15,-0.63,-1.1,-1.05,-0.05,0.57,0.14,-0.53,-0.28,0.75,0.68,0.12,0.09,0.09,0.124762,-0.37,0.67,0.93,-0.03,-0.44,-0.13,0.1,0.3,0.27,0.02,0.07,0.18,0.12,-0.14,-0.03,0.05,-0.33,R.42.16
0.26,-0.27,-0.32,0.11,0.18,-0.32,0.15,0.05,0.19,0.13,0.12,-0.13,0.16,-0.03,-0.11,0.13,-0.17,0.01,-0.17,-0.13,0.13,-0.17,0.01,-0.2,-0.13,0.11,-0.52,0.09,0.48,0.14,-0.5,0.28,-0.07,-0.01,-0.31,0.28,0.07,0.3,-0.87,0.25,-0.55,-0.03,0.16,0.56,0.26,0.21,-0.15,-0.15,-0.04,-0.28,-0.39,0.03,0.22,0.04,-0.15,0.37,0.47,-0.1,-0.09,0.124762,-0.04,0.07,0.19,-0.45,-0.59,-0.17,-0.06,0.2,0.42,0.16,0.16,0.19,0.19,0.31,0.2,-0.3,-0.26,R.42.16
0.45,-0.62,-0.22,0.7,-0.07,0.03,-0.09,0.47,-0.07,0.75,-0.06,-0.53,0.08,-0.02,0.03,-0.11,0.34,-0.39,0.09,-0.37,0.08,-0.11,-0.15,-0.39,-0.3,0.03,-0.33,0.24,0.12,0.25,-0.71,0.21,-0.11,0.08,-0.44,0.2,-0.22,0.23,0,0.13,-0.12,-0.02,0.27,0.33,0.23,0.46,0.47,-0.52,-0.12,0.21,-0.01,-0.41,-0.52,-0.22,-0.06,0.3,0.07,0.55,0.26,-0.19,0.102857,0.01,0.18,-0.56,-0.09,-0.22,-0.18,-0.09,-0.36,-0.16,0.24,0.13,0.34,-0.13,0.37,0.37,0.35,R.42.16
-0.38,-0.67,-0.29,0.23,0.04,0.16,-0.1,-0.06,-0.1,0.28,0.23,-0.04,0.11,0.25,-0.1,-0.22,0.16,-0.32,-0.64,0.17,0.16,0.03,0.12125,0.1548,0.0864,0.025,-0.13,-0.1284,-0.013044,-0.0184,-0.1375,0.0312,0.07,0.1584,-0.3408,0.65,0.055217,0.08,-0.013636,-0.8,0.027083,0.145833,0.086957,0.0396,-0.0432,0.09,0.02,0.02,-0.5,-0.38,-0.03,0.01,0.22,-0.43,0.14,0.29,0.28,0.04,0.06,0.066429,-0.53,0.44,0.35,0.14,-0.49,-0.28,-0.1,0.09,0.29,-0.05,-0.02,-0.15,0.06,0.58,-0.07,-0.19,0.21,R.11.02.03.01
0.39,-0.36,-0.14,-0.09,-0.29,-0.36,-0.13,0.14,0.16,0.28,0.41,0.2,-0.16,-0.13,-0.34,-0.26,0.02,-0.08,0.2,0.04,0.3,-0.03,0.12,0.15,0.41,0.02,0.18,0.14,-0.14,-0.16,-0.52,-0.11,-0.74,0.26,-0.45,0.3,0.11,0.14,-0.2,0.07,-0.39,-0.29,1.26,-0.06,-0.06,-0.04,-0.14,-0.33,0.08,0.34,0.06,0.14,0.14,-0.83,0.06,-0.68,-0.43,0.71,0.11,0.066429,0.29,0.75,-0.26,-0.13,-0.6,-0.03,-0.31,0.1,0.2,0.4,0.33,0.27,-0.09,-0.05,0.08,-0.01,-0.15,R.11.02.03.01
-0.1,-0.27,-0.32,-0.06,0.15,-0.54,-1.05,-0.44,-0.11,0.07,0.26,0.23,0.3,0.34,0.05,0.21,0.27,0.04,-0.09,0.04,-0.05,0.31,0.88,1.25,0.68,0.06,-0.11,0.08,-0.11,0.15,-0.55,0.16,-0.38,-0.26,-0.48,-0.03,0.05,0.09,-0.34,-0.23,-0.09,0.79,-0.14,-0.28,-0.52,-0.66,-0.73,0.02,0.23,0.3,0.46,-0.26,0.15,0.29,0.36,-0.01,-0.04,-0.32,0.24,0.006452,0.11,-0.41,-0.37,-1.02,-0.12,-0.11,0.69,0.51,0.39,0.02,0.05,-0.18,0.36,-0.05,-0.15,-0.33,-0.05,R.11.04.01
