@relation cellcycle0_TEST-D
 @attribute cln3-2 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute alpha0 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute alpha49 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc15_30 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc15_70 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc15_100 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc15_200 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc15_270 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute elu60 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute elu210 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@attribute class {R.11.02.03.01,R.12.04.02,R.01.04,R.43.01.03.09,R.32.01,R.20.01.17,R.12.04.01,R.14.10,R.20.09.07.03,R.16.03.03,R.10.03.01.01.11,R.42.01,R.01.05,R.20.03,R.01.03.01.03,R.10.01.09.05,R.11.02.03.04,R.12.10,R.01.05.25,R.16.19.03,R.11.04.03.01,R.34.11.03.07,R.42.04.05,R.10.01.03.05,R.14.04,R.16.01,R.43.01.03.05,R.42.16,R.12.01.01,R.01.07.01,R.20.09.07,R.32.07,R.01.03.07,R.01.05.02.07,R.01.06,R.20.09.04,R.20.01.13,R.01.06.02.01,R.20.01.27,R.11.06.02,R.14.07.02,R.10.01.05.01,R.20.09.13,R.14.07.02.02,R.01.01.06.06.01.03,R.12.07,R.14.13,R.10.03.01,R.10,R.16.03.01,R.42.04,R.34.01.01.01,R.01.01,R.02.01,R.11,R.20.01.01.01,R.01.05.13.01,R.20.01.03,R.01.20.15,R.11.04.01,R.01.03.01,R.14.07.11,R.20.09.18,R.42.27.03,R.10.03.01.01.09,R.20.01.07,R.42.04.03,R.20.01.15,R.01.01.06.04.02,R.14.07.04,R.20.09.16,R.14.01,R.11.02.03.04.03,R.01.06.06.11,R.14.13.01.01,R.14.07.09,R.10.03.02,R.01.07,R.20.01.10,R.01.02,R.99,R.01.01.06.05,R.32.01.01,R.10.01.05.03,R.10.03.04.03,R.01.01.09.06.01,R.14.13.01,R.01.03.04.03,R.02.13.03,R.01.20.19,R.01.05.09.04,R.11.04.03.05,R.14.07.03,R.10.01.03,R.42.25,R.32,R.14.07.05,R.42.10.03,R.02.19,R.10.01.05.03.01,R.01.03.04,R.20.09.01,R.02.13,R.11.02.03.01.04,R.02.16.01,R.11.04.02,R.12.04.03,R.18.02.01,R.16.19,R.01.06.05,R.12,R.10.03.01.03,R.16.21.07,R.02.10,R.01.01.11.03.01,R.34.01.01.03,R.20.09.07.27,R.12.01,R.42.08,R.10.03.04.05,R.20.03.01.01,R.11.02.03.04.01,R.20.01.23,R.01.01.03.02.01,R.32.01.09,R.34.11.03.13,R.01.04.04,R.14.07,R.14.07.11.01,R.32.01.03,R.01.06.02.02,R.40.01,R.01.01.09.04.01,R.42.19,R.11.04.03,R.01.01.09.07.01,R.01.03.10,R.02.16,R.01.06.06,R.01.02.07,R.01.01.09.05,R.32.07.03,R.20.01.01.01.01,R.34.07.01,R.20.01.21,R.34.01.01,R.01.01.11.04.01,R.20.01.03.01,R.30.01,R.14,R.01.01.13,R.01.01.06.05.01,R.11.02.03.01.01,R.02.04,R.01.01.06.02.01,R.12.04,R.20.01.25,R.38,R.01.01.03.05.01,R.40.10.02.02.01,R.14.07.01,R.01.02.02.09,R.20.09.07.25,R.20.01.01.07.07,R.01.03.16.01,R.40.20,R.10.03.03,R.01.06.10,R.01.03.01.01,R.02.45,R.14.13.04,R.20.01.01.07,R.01.01.06.05.01.01,R.20.09.18.09.01,R.10.01.05,R.01.01.09.02,R.30.01.05.05.01,R.11.04.03.03,R.02.01.03,R.01.01.09.03.01,R.18.02.09,R.42.10,R.20.09.07.05,R.20.01.03.03,R.16.21.17,R.01.03.04.01,R.01.05.06.07,R.11.02.01,R.18.02.01.01.01,R.01.01.03.03.01}
@data
8,4,9,7,7,11,11,9,13,9,R.20.09.13
11,5,10,10,9,10,8,7,16,10,R.20.09.13
9,7,9,12,8,12,10,7,19,11,R.20.09.13
9,6,10,7,9,12,11,12,14,17,R.42.16
11,7,9,7,8,10,13,6,13,7,R.42.16
9,7,11,3,9,10,10,11,7,11,R.42.16
7,7,10,7,9,12,11,7,11,9,R.42.16
9,7,10,8,10,10,10,9,7,11,R.11.02.03.01
2,11,10,9,6,13,10,6,13,11,R.11.02.03.01
6,10,11,16,9,15,4,8,12,10,R.11.04.01
9,9,11,11,11,10,10,7,12,11,R.11.04.01
8,10,12,13,8,11,8,6,12,7,R.11.04.01
7,9,8,13,11,11,9,6,13,10,R.11.04.01
12,7,9,10,9,11,11,8,9,14,R.01.04
11,8,10,9,8,9,9,15,10,11,R.01.04
9,6,11,11,10,12,10,5,10,13,R.01.04
8,9,9,12,12,11,10,2,13,12,R.01.04
13,8,13,3,1,8,18,16,12,9,R.01.04
8,8,9,13,9,9,10,7,11,15,R.01.04
8,9,11,9,10,10,10,9,14,10,R.01.04
10,5,7,16,8,10,9,8,12,13,R.01.04
10,6,10,5,12,12,13,4,11,13,R.01.04
8,8,9,11,9,11,11,5,10,11,R.01.04
11,9,9,3,6,4,13,19,15,4,R.01.04
9,17,8,8,11,8,9,10,14,8,R.01.04
9,7,11,9,9,11,12,4,11,11,R.01.04
7,8,9,13,11,11,10,3,14,9,R.01.04
7,7,8,10,9,12,7,7,10,8,R.01.04
10,7,9,10,9,12,11,7,7,13,R.01.04
9,8,10,10,10,12,13,5,14,10,R.01.04
5,12,9,10,7,12,14,8,12,10,R.01.04
7,10,8,11,9,10,9,9,11,11,R.01.04
10,7,8,9,12,10,9,11,0,7,R.01.04
6,0,14,4,6,11,11,3,16,9,R.01.04
5,9,7,0,19,11,11,7,7,12,R.01.04
7,9,9,5,9,11,10,12,11,11,R.01.04
8,7,9,9,11,13,16,2,9,10,R.01.04
11,7,9,11,10,10,11,7,11,12,R.01.04
9,6,8,11,11,12,9,2,16,7,R.01.04
10,8,1,10,10,8,9,8,9,9,R.01.04
9,6,10,11,7,11,11,4,10,12,R.01.04
7,9,9,10,9,11,11,7,11,8,R.01.04
9,8,9,10,9,12,12,5,12,12,R.01.04
6,9,10,8,16,12,10,8,12,8,R.10.01.05.01
7,5,10,12,6,12,10,6,16,11,R.10.01.05.01
9,7,9,8,7,14,10,18,13,10,R.10.01.05.01
9,8,9,10,9,13,9,7,11,10,R.10.01.05.01
7,9,11,11,9,13,8,8,9,13,R.10.01.05.01
7,3,12,9,3,13,12,4,5,16,R.11.02.03.04
10,8,8,11,9,10,6,9,11,14,R.11.02.03.04
9,6,9,12,9,12,9,8,12,12,R.11.02.03.04
6,9,10,9,11,11,13,5,10,9,R.11.02.03.04
6,8,9,10,11,10,11,5,9,11,R.11.02.03.04
13,9,9,6,9,12,10,8,12,9,R.11.02.03.04
8,7,9,11,7,11,13,4,12,13,R.11.02.03.04
17,9,10,8,10,12,12,5,13,10,R.11.02.03.04
7,8,9,10,9,11,10,7,11,11,R.11.02.03.04
9,12,7,10,9,11,13,3,15,11,R.11.02.03.04
9,7,11,10,9,11,10,7,12,10,R.11.02.03.04
9,8,10,11,10,11,10,4,13,12,R.11.02.03.04
7,7,10,9,7,10,11,5,16,9,R.11.02.03.04
6,7,12,11,9,14,10,5,16,7,R.11.02.03.04
8,8,9,16,10,11,9,3,12,12,R.11.02.03.04
8,7,11,11,8,12,5,6,10,10,R.11.02.03.04
10,8,9,11,9,9,11,5,13,12,R.11.02.03.04
6,8,9,11,8,13,12,6,11,12,R.11.02.03.04
8,8,10,12,10,11,11,6,10,11,R.11.02.03.04
9,7,9,10,9,11,10,7,12,11,R.11.02.03.04
8,9,10,11,9,10,8,8,11,9,R.11.02.03.04
7,9,9,12,9,11,12,8,11,10,R.11.02.03.04
9,10,8,13,9,10,10,8,14,11,R.11.02.03.04
8,10,9,9,9,14,9,7,12,10,R.11.02.03.04
9,7,9,11,9,12,10,6,11,12,R.11.02.03.04
10,7,10,11,11,9,14,6,12,12,R.11.02.03.04
8,9,11,11,9,11,13,7,12,10,R.11.02.03.04
12,6,8,10,12,7,9,9,10,12,R.11.02.03.04
11,5,9,10,9,11,10,7,12,11,R.11.02.03.04
