@relation cellcycle0_TEST-D
@attribute cln3-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute clb2-2 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute alpha7 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc15_10 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc15_140 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc15_250 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc28_30 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc28_60 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc28_120 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute elu300 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@attribute class {R.11.02.03.01,R.12.04.02,R.01.04,R.43.01.03.09,R.32.01,R.20.01.17,R.12.04.01,R.14.10,R.20.09.07.03,R.16.03.03,R.10.03.01.01.11,R.42.01,R.01.05,R.20.03,R.01.03.01.03,R.10.01.09.05,R.11.02.03.04,R.12.10,R.01.05.25,R.16.19.03,R.11.04.03.01,R.34.11.03.07,R.42.04.05,R.10.01.03.05,R.14.04,R.16.01,R.43.01.03.05,R.42.16,R.12.01.01,R.01.07.01,R.20.09.07,R.32.07,R.01.03.07,R.01.05.02.07,R.01.06,R.20.09.04,R.20.01.13,R.01.06.02.01,R.20.01.27,R.11.06.02,R.14.07.02,R.10.01.05.01,R.20.09.13,R.14.07.02.02,R.01.01.06.06.01.03,R.12.07,R.14.13,R.10.03.01,R.10,R.16.03.01,R.42.04,R.34.01.01.01,R.01.01,R.02.01,R.11,R.20.01.01.01,R.01.05.13.01,R.20.01.03,R.01.20.15,R.11.04.01,R.01.03.01,R.14.07.11,R.20.09.18,R.42.27.03,R.10.03.01.01.09,R.20.01.07,R.42.04.03,R.20.01.15,R.01.01.06.04.02,R.14.07.04,R.20.09.16,R.14.01,R.11.02.03.04.03,R.01.06.06.11,R.14.13.01.01,R.14.07.09,R.10.03.02,R.01.07,R.20.01.10,R.01.02,R.99,R.01.01.06.05,R.32.01.01,R.10.01.05.03,R.10.03.04.03,R.01.01.09.06.01,R.14.13.01,R.01.03.04.03,R.02.13.03,R.01.20.19,R.01.05.09.04,R.11.04.03.05,R.14.07.03,R.10.01.03,R.42.25,R.32,R.14.07.05,R.42.10.03,R.02.19,R.10.01.05.03.01,R.01.03.04,R.20.09.01,R.02.13,R.11.02.03.01.04,R.02.16.01,R.11.04.02,R.12.04.03,R.18.02.01,R.16.19,R.01.06.05,R.12,R.10.03.01.03,R.16.21.07,R.02.10,R.01.01.11.03.01,R.34.01.01.03,R.20.09.07.27,R.12.01,R.42.08,R.10.03.04.05,R.20.03.01.01,R.11.02.03.04.01,R.20.01.23,R.01.01.03.02.01,R.32.01.09,R.34.11.03.13,R.01.04.04,R.14.07,R.14.07.11.01,R.32.01.03,R.01.06.02.02,R.40.01,R.01.01.09.04.01,R.42.19,R.11.04.03,R.01.01.09.07.01,R.01.03.10,R.02.16,R.01.06.06,R.01.02.07,R.01.01.09.05,R.32.07.03,R.20.01.01.01.01,R.34.07.01,R.20.01.21,R.34.01.01,R.01.01.11.04.01,R.20.01.03.01,R.30.01,R.14,R.01.01.13,R.01.01.06.05.01,R.11.02.03.01.01,R.02.04,R.01.01.06.02.01,R.12.04,R.20.01.25,R.38,R.01.01.03.05.01,R.40.10.02.02.01,R.14.07.01,R.01.02.02.09,R.20.09.07.25,R.20.01.01.07.07,R.01.03.16.01,R.40.20,R.10.03.03,R.01.06.10,R.01.03.01.01,R.02.45,R.14.13.04,R.20.01.01.07,R.01.01.06.05.01.01,R.20.09.18.09.01,R.10.01.05,R.01.01.09.02,R.30.01.05.05.01,R.11.04.03.03,R.02.01.03,R.01.01.09.03.01,R.18.02.09,R.42.10,R.20.09.07.05,R.20.01.03.03,R.16.21.17,R.01.03.04.01,R.01.05.06.07,R.11.02.01,R.18.02.01.01.01,R.01.01.03.03.01}
@data
7,11,7,10,6,11,3,13,10,7,R.20.09.13
11,10,8,13,7,10,11,13,7,11,R.20.09.13
13,9,8,12,6,0,8,14,9,8,R.20.09.13
8,10,9,13,7,13,6,12,12,13,R.42.16
11,10,7,12,6,8,3,17,15,7,R.42.16
13,11,9,8,7,12,10,8,10,11,R.42.16
12,8,6,12,7,9,6,13,15,9,R.42.16
13,9,8,14,7,11,5,10,11,8,R.11.02.03.01
5,9,8,15,6,11,3,16,2,9,R.11.02.03.01
7,11,5,18,4,11,10,14,6,9,R.11.04.01
11,9,6,15,4,10,9,15,8,6,R.11.04.01
10,9,5,16,5,9,7,16,11,8,R.11.04.01
6,9,6,16,8,10,9,12,8,11,R.11.04.01
12,9,3,13,7,7,10,11,12,9,R.01.04
6,12,8,13,4,15,5,11,12,5,R.01.04
9,13,7,14,6,9,6,15,10,11,R.01.04
7,11,6,15,6,7,7,10,10,6,R.01.04
7,11,5,12,6,16,8,11,4,3,R.01.04
15,7,7,15,8,8,10,9,7,7,R.01.04
7,9,9,13,5,11,7,14,8,10,R.01.04
14,7,7,14,12,10,9,1,14,10,R.01.04
7,10,7,12,6,7,10,12,11,11,R.01.04
11,8,7,14,8,8,9,14,14,7,R.01.04
9,11,11,12,3,19,3,6,10,1,R.01.04
10,8,11,11,6,11,7,12,7,8,R.01.04
12,9,8,14,9,8,10,13,12,7,R.01.04
11,9,5,14,6,6,9,9,7,3,R.01.04
11,9,6,13,10,10,1,8,16,5,R.01.04
5,11,7,13,7,9,5,12,9,6,R.01.04
12,8,8,13,6,7,8,6,9,4,R.01.04
13,11,8,13,6,10,6,14,10,7,R.01.04
11,10,8,14,6,10,10,9,13,11,R.01.04
10,9,12,13,5,12,4,0,9,5,R.01.04
6,19,4,10,7,10,4,8,10,10,R.01.04
11,9,11,13,7,9,12,2,14,10,R.01.04
11,11,8,11,6,13,8,10,12,5,R.01.04
10,10,8,14,13,4,9,13,10,7,R.01.04
12,8,8,13,8,9,8,12,12,8,R.01.04
11,10,19,15,6,7,4,12,7,9,R.01.04
8,11,8,14,7,10,7,16,9,4,R.01.04
9,9,5,13,7,7,15,10,9,9,R.01.04
8,8,8,13,7,9,8,11,10,8,R.01.04
9,9,6,14,7,7,8,12,9,10,R.01.04
14,8,7,13,7,5,8,15,11,3,R.10.01.05.01
13,9,7,14,7,8,9,9,11,12,R.10.01.05.01
4,10,7,12,7,7,7,14,10,4,R.10.01.05.01
15,7,8,14,7,9,19,11,6,7,R.10.01.05.01
6,8,7,14,6,9,8,15,6,10,R.10.01.05.01
11,8,6,12,8,8,8,12,7,10,R.11.02.03.04
8,9,8,13,7,11,7,12,9,8,R.11.02.03.04
12,8,14,15,8,11,8,14,11,1,R.11.02.03.04
9,11,9,13,2,8,10,14,8,19,R.11.02.03.04
10,9,8,13,6,9,9,11,13,5,R.11.02.03.04
12,13,8,12,6,10,7,12,10,10,R.11.02.03.04
11,9,10,14,8,7,6,13,10,4,R.11.02.03.04
15,16,8,13,7,8,6,11,10,11,R.11.02.03.04
12,9,7,14,7,9,7,13,8,10,R.11.02.03.04
11,11,8,15,5,7,9,11,8,4,R.11.02.03.04
8,10,8,14,7,9,8,14,11,12,R.11.02.03.04
10,9,7,14,4,9,9,13,10,8,R.11.02.03.04
11,11,7,12,8,8,11,12,10,9,R.11.02.03.04
11,8,8,13,10,6,6,14,11,8,R.11.02.03.04
6,12,6,19,4,7,4,9,10,5,R.11.02.03.04
8,11,9,13,8,10,9,14,10,11,R.11.02.03.04
10,9,7,15,6,10,13,12,9,8,R.11.02.03.04
11,8,10,14,7,8,9,9,13,8,R.11.02.03.04
10,10,7,13,6,9,9,12,10,7,R.11.02.03.04
9,8,8,13,6,9,7,13,8,11,R.11.02.03.04
9,9,9,14,8,8,8,13,6,8,R.11.02.03.04
10,9,7,14,6,8,7,15,12,11,R.11.02.03.04
12,9,6,15,8,9,9,9,10,10,R.11.02.03.04
11,11,9,13,6,9,6,10,8,12,R.11.02.03.04
13,9,6,13,5,8,7,13,7,10,R.11.02.03.04
12,8,7,15,6,8,11,11,7,5,R.11.02.03.04
9,9,6,14,6,8,8,12,9,10,R.11.02.03.04
11,7,4,15,4,12,9,12,9,9,R.11.02.03.04
11,10,7,14,7,9,10,11,9,6,R.11.02.03.04
