@relation cellcycle0_TEST-D
 @attribute alpha28 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute alpha35 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute alpha63 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute alpha84 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc15_140 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc15_170 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc15_220 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc28_10 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute cdc28_150 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
 @attribute elu210 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@attribute class {R.11.02.03.01,R.12.04.02,R.01.04,R.43.01.03.09,R.32.01,R.20.01.17,R.12.04.01,R.14.10,R.20.09.07.03,R.16.03.03,R.10.03.01.01.11,R.42.01,R.01.05,R.20.03,R.01.03.01.03,R.10.01.09.05,R.11.02.03.04,R.12.10,R.01.05.25,R.16.19.03,R.11.04.03.01,R.34.11.03.07,R.42.04.05,R.10.01.03.05,R.14.04,R.16.01,R.43.01.03.05,R.42.16,R.12.01.01,R.01.07.01,R.20.09.07,R.32.07,R.01.03.07,R.01.05.02.07,R.01.06,R.20.09.04,R.20.01.13,R.01.06.02.01,R.20.01.27,R.11.06.02,R.14.07.02,R.10.01.05.01,R.20.09.13,R.14.07.02.02,R.01.01.06.06.01.03,R.12.07,R.14.13,R.10.03.01,R.10,R.16.03.01,R.42.04,R.34.01.01.01,R.01.01,R.02.01,R.11,R.20.01.01.01,R.01.05.13.01,R.20.01.03,R.01.20.15,R.11.04.01,R.01.03.01,R.14.07.11,R.20.09.18,R.42.27.03,R.10.03.01.01.09,R.20.01.07,R.42.04.03,R.20.01.15,R.01.01.06.04.02,R.14.07.04,R.20.09.16,R.14.01,R.11.02.03.04.03,R.01.06.06.11,R.14.13.01.01,R.14.07.09,R.10.03.02,R.01.07,R.20.01.10,R.01.02,R.99,R.01.01.06.05,R.32.01.01,R.10.01.05.03,R.10.03.04.03,R.01.01.09.06.01,R.14.13.01,R.01.03.04.03,R.02.13.03,R.01.20.19,R.01.05.09.04,R.11.04.03.05,R.14.07.03,R.10.01.03,R.42.25,R.32,R.14.07.05,R.42.10.03,R.02.19,R.10.01.05.03.01,R.01.03.04,R.20.09.01,R.02.13,R.11.02.03.01.04,R.02.16.01,R.11.04.02,R.12.04.03,R.18.02.01,R.16.19,R.01.06.05,R.12,R.10.03.01.03,R.16.21.07,R.02.10,R.01.01.11.03.01,R.34.01.01.03,R.20.09.07.27,R.12.01,R.42.08,R.10.03.04.05,R.20.03.01.01,R.11.02.03.04.01,R.20.01.23,R.01.01.03.02.01,R.32.01.09,R.34.11.03.13,R.01.04.04,R.14.07,R.14.07.11.01,R.32.01.03,R.01.06.02.02,R.40.01,R.01.01.09.04.01,R.42.19,R.11.04.03,R.01.01.09.07.01,R.01.03.10,R.02.16,R.01.06.06,R.01.02.07,R.01.01.09.05,R.32.07.03,R.20.01.01.01.01,R.34.07.01,R.20.01.21,R.34.01.01,R.01.01.11.04.01,R.20.01.03.01,R.30.01,R.14,R.01.01.13,R.01.01.06.05.01,R.11.02.03.01.01,R.02.04,R.01.01.06.02.01,R.12.04,R.20.01.25,R.38,R.01.01.03.05.01,R.40.10.02.02.01,R.14.07.01,R.01.02.02.09,R.20.09.07.25,R.20.01.01.07.07,R.01.03.16.01,R.40.20,R.10.03.03,R.01.06.10,R.01.03.01.01,R.02.45,R.14.13.04,R.20.01.01.07,R.01.01.06.05.01.01,R.20.09.18.09.01,R.10.01.05,R.01.01.09.02,R.30.01.05.05.01,R.11.04.03.03,R.02.01.03,R.01.01.09.03.01,R.18.02.09,R.42.10,R.20.09.07.05,R.20.01.03.03,R.16.21.17,R.01.03.04.01,R.01.05.06.07,R.11.02.01,R.18.02.01.01.01,R.01.01.03.03.01}
@data
9,10,10,8,6,9,13,8,17,9,R.20.09.13
9,15,10,6,7,9,6,10,8,10,R.20.09.13
11,14,8,6,6,14,11,8,12,11,R.20.09.13
7,15,7,3,7,10,10,7,19,17,R.42.16
12,13,8,4,6,10,11,7,18,7,R.42.16
11,15,8,5,7,13,6,6,15,11,R.42.16
9,14,7,4,7,10,10,4,14,9,R.42.16
12,12,6,6,7,10,6,10,15,11,R.11.02.03.01
8,12,9,5,6,0,11,10,16,11,R.11.02.03.01
12,12,8,5,4,8,8,11,10,10,R.11.04.01
11,12,7,4,4,8,9,10,11,11,R.11.04.01
10,13,7,6,5,10,7,7,10,7,R.11.04.01
11,11,9,7,8,12,5,9,9,10,R.11.04.01
15,13,6,7,7,8,10,12,6,14,R.01.04
11,12,8,5,4,11,6,8,14,11,R.01.04
10,14,7,6,6,13,12,8,17,13,R.01.04
9,11,8,5,6,9,10,11,13,12,R.01.04
11,12,11,3,6,2,19,18,8,9,R.01.04
12,11,7,6,8,13,10,11,6,15,R.01.04
7,14,8,3,5,11,5,8,10,10,R.01.04
12,11,6,8,12,14,10,11,12,13,R.01.04
10,15,9,5,6,13,9,8,13,13,R.01.04
7,12,9,5,8,7,11,11,12,11,R.01.04
12,12,5,3,3,11,14,14,15,4,R.01.04
12,13,6,2,6,12,8,9,13,8,R.01.04
9,14,7,3,9,13,11,9,10,11,R.01.04
13,14,8,5,6,11,7,10,10,9,R.01.04
12,10,7,5,10,13,7,10,13,8,R.01.04
10,12,7,4,7,10,10,10,17,13,R.01.04
13,13,8,4,6,11,8,13,15,10,R.01.04
10,13,5,3,6,10,11,6,16,10,R.01.04
12,11,8,7,6,7,9,12,7,11,R.01.04
10,12,8,3,5,8,8,19,17,7,R.01.04
6,9,17,7,7,8,10,8,18,9,R.01.04
14,13,4,5,7,10,10,7,17,12,R.01.04
12,11,7,6,6,11,8,6,14,11,R.01.04
11,11,11,5,13,10,10,9,16,10,R.01.04
11,13,8,4,8,14,9,10,11,12,R.01.04
8,10,8,2,6,9,11,10,10,7,R.01.04
10,11,8,6,7,11,7,10,11,9,R.01.04
10,15,6,5,7,10,11,10,4,12,R.01.04
11,10,7,7,7,10,10,11,11,8,R.01.04
7,15,10,6,7,8,10,12,12,12,R.01.04
8,11,6,4,7,4,9,10,13,8,R.10.01.05.01
9,13,10,7,7,9,13,8,9,11,R.10.01.05.01
8,14,12,3,7,5,10,10,8,10,R.10.01.05.01
12,10,7,6,7,8,6,14,2,10,R.10.01.05.01
10,14,8,6,6,10,7,12,8,13,R.10.01.05.01
8,10,11,6,8,10,13,10,10,16,R.11.02.03.04
10,15,11,4,7,11,8,10,13,14,R.11.02.03.04
12,9,6,4,8,10,6,11,11,12,R.11.02.03.04
10,15,10,4,2,14,13,12,12,9,R.11.02.03.04
10,12,7,6,6,10,10,8,11,11,R.11.02.03.04
12,13,7,5,6,10,9,10,13,9,R.11.02.03.04
10,10,11,7,8,7,11,12,9,13,R.11.02.03.04
10,14,6,5,7,9,13,11,11,10,R.11.02.03.04
13,11,6,6,7,10,9,11,16,11,R.11.02.03.04
10,14,7,6,5,10,11,10,12,11,R.11.02.03.04
6,15,9,5,7,10,9,8,13,10,R.11.02.03.04
8,14,7,5,4,15,7,10,12,12,R.11.02.03.04
10,12,6,6,8,10,12,13,12,9,R.11.02.03.04
7,15,10,4,10,10,9,8,11,7,R.11.02.03.04
12,15,8,5,4,9,7,7,18,12,R.11.02.03.04
5,15,10,4,8,9,7,9,13,10,R.11.02.03.04
8,14,7,5,6,10,10,11,9,12,R.11.02.03.04
9,12,8,5,7,11,11,13,10,12,R.11.02.03.04
10,12,5,5,6,10,9,9,12,11,R.11.02.03.04
8,15,10,5,6,11,10,10,13,11,R.11.02.03.04
12,11,6,7,8,10,8,13,10,9,R.11.02.03.04
11,11,9,6,6,15,5,13,9,10,R.11.02.03.04
10,15,4,5,8,8,9,11,10,11,R.11.02.03.04
10,13,6,6,6,7,9,12,13,10,R.11.02.03.04
11,12,8,5,5,6,9,10,10,12,R.11.02.03.04
10,11,6,4,6,8,11,15,10,12,R.11.02.03.04
12,11,7,5,6,9,11,13,14,10,R.11.02.03.04
12,13,8,4,4,12,5,5,9,12,R.11.02.03.04
10,11,7,7,7,10,9,8,11,11,R.11.02.03.04
