@relation 'spo0.names'
@attribute t0_green                                numeric
@attribute t0_green_bkg                            numeric
@attribute t0_red                                  numeric
@attribute t0_red_bkg                              numeric
@attribute t0_flag                                 numeric
@attribute t0point5_green                          numeric
@attribute t0point5_green_bkg                      numeric
@attribute t0point5_red                            numeric
@attribute t0point5_red_bkg                        numeric
@attribute t0point5_flag                           numeric
@attribute t2_green                                numeric
@attribute t2_green_bkg                            numeric
@attribute t2_red                                  numeric
@attribute t2_red_bkg                              numeric
@attribute t2_flag                                 numeric
@attribute t5_green                                numeric
@attribute t5_green_bkg                            numeric
@attribute t5_red                                  numeric
@attribute t5_red_bkg                              numeric
@attribute t5_flag                                 numeric
@attribute t7_green                                numeric
@attribute t7_green_bkg                            numeric
@attribute t7_red                                  numeric
@attribute t7_red_bkg                              numeric
@attribute t7_flag                                 numeric
@attribute t9_green                                numeric
@attribute t9_green_bkg                            numeric
@attribute t9_red                                  numeric
@attribute t9_red_bkg                              numeric
@attribute t9_flag                                 numeric
@attribute t11point5_green                         numeric
@attribute t11point5_green_bkg                     numeric
@attribute t11point5_red                           numeric
@attribute t11point5_red_bkg                       numeric
@attribute t11point5_flag                          numeric
@attribute gal_ndt80_green                         numeric
@attribute gal_ndt80_green_bkg                     numeric
@attribute gal_ndt80_red                           numeric
@attribute gal_ndt80_red_bkg                       numeric
@attribute gal_ndt80_flag                          numeric
@attribute ndt80_delete_early_green                numeric
@attribute ndt80_delete_early_green_bkg            numeric
@attribute ndt80_delete_early_red                  numeric
@attribute ndt80_delete_early_red_bkg              numeric
@attribute ndt80_delete_early_flag                 numeric
@attribute ndt80_delete_mid_green                  numeric
@attribute ndt80_delete_mid_green_green_bkg        numeric
@attribute ndt80_delete_mid_green_red              numeric
@attribute ndt80_delete_mid_green_red_bkg          numeric
@attribute ndt80_delete_mid_green_flag             numeric
@attribute t0_correlation                          numeric
@attribute t0point5_correlation                    numeric
@attribute t2_correlation                          numeric
@attribute t5_correlation                          numeric
@attribute t7_correlation                          numeric
@attribute t9_correlation                          numeric
@attribute t11point5_correlation                   numeric
@attribute ndt80_delete_early_correlation          numeric
@attribute ndt80_delete_mid_correlation            numeric
@attribute t0_regression                           numeric
@attribute t0point5_regression                     numeric
@attribute t2_regression                           numeric
@attribute t5_regression                           numeric
@attribute t7_regression                           numeric
@attribute t9_regression                           numeric
@attribute t11point5_regression                    numeric
@attribute ndt80_delete_early_regression           numeric
@attribute ndt80_delete_mid_regression             numeric
@attribute t0_g.r_ratio                            numeric
@attribute t0point5_g.r_ratio                      numeric
@attribute t2_g.r_ratio                            numeric
@attribute t5_g.r_ratio                            numeric
@attribute t7_g.r_ratio                            numeric
@attribute t9_g.r_ratio                            numeric
@attribute t11point5_g.r_ratio                     numeric
@attribute ndt80_delete_early_g.r_ratio            numeric
@attribute ndt80_delete_mid_g.r_ratio              numeric
@attribute failed_pcr                              {0,1,2,3,4,5}
@attribute blast_homology_within_genome            {0,1}
@attribute overlaps_another_orf                    {0,1}
@attribute class {42.01,01.05,11.02.03.01,01.04,43.01.03.09,32.01,12.04.01,14.10,20.09.07.03,16.03.03,20.03,01.03.01.03,10.01.09.05,11.02.03.04,12.10,01.05.25,16.19.03,11.04.03.01,34.11.03.07,14.04,16.01,43.01.03.05,42.16,12.01.01,01.07.01,20.09.07,32.07,01.05.02.07,01.06,20.09.04,20.01.13,01.06.02.01,11.06.02,14.07.02,10.01.05.01,20.09.13,12.07,14.13,10.03.01,10,16.03.01,42.04,34.01.01.01,01.01,20.01.01.01,20.01.03,11.04.01,01.03.01,14.07.11,20.09.18,20.01.07,20.01.15,14.01,01.06.06.11,14.13.01.01,10.03.02,20.01.10,01.02,99,32.01.01,14.13.01,02.13.03,14.07.05,01.03.04,14.07,40.01,12.04,10.01.05,42.10,10.03.01.01,01.01.06,01.01.09,20.01,20.09,11.04,18.02,02,01}

@data
5208,1171,5664,756,0,5914,1108,6008,494,0,3492,1376,3517,759,0,4591,1943,2716,1173,0,5658,1550,6001,1063,0,5570,1135,6554,834,0,4696,1028,5532,653,0,2191,1308,10398,3837,0,7218,623,6718,484,0,9524,1064,1782,538,0,0.933,0.924,0.938,0.874,0.947,0.86,0.775,0.972,0.966,0.79,0.864,0.706,1.55,0.796,0.67,0.715,1.054,6.652,0.82,0.87,0.76,1.71,0.83,0.77,0.75,0.13,1.05,1,1,0,01.05
1530,1118,1018,607,0,2221,1151,1233,421,0,1818,1407,1171,798,0,2428,1742,1654,1080,0,2217,968,1816,608,1,1285,1007,1047,798,0,1299,900,1011,604,0,3152,1354,5323,3503,0,828,581,769,463,0,1128,883,681,424,0,0.847,0.566,0.779,0.892,0.897,0.656,0.769,0.964,0.913,0.831,0.805,0.704,1.153,0.765,0.504,0.62,0.71,0.848,1,1.31,1.1,1.19,1.03,1.11,0.98,0.98,0.8,1,1,0,11.02.03.01
9575,1489,9427,1066,0,13829,1798,4883,982,0,6818,1822,3386,1100,0,11598,1772,7099,1092,0,9696,1486,4434,947,0,10706,1438,4538,1275,0,18770,2403,8916,1550,0,11200,1136,6548,3464,0,9837,483,3353,364,0,19035,913,8125,439,0,0.964,0.932,0.944,0.953,0.961,0.926,0.891,0.977,0.968,0.919,2.847,2.097,1.606,2.315,2.759,1.989,3.017,2.288,0.96,3.08,2.18,1.63,2.35,2.84,2.22,3.26,3.12,1,1,0,12.04.01
12911,1292,17750,871,0,4880,1307,20118,758,0,5821,1326,17588,743,0,7600,1646,20099,1005,0,11883,1569,29606,1161,0,12304,1253,12734,986,0,18776,1298,17168,1015,0,1920,1489,4504,3668,0,3934,625,22195,575,0,5073,993,16721,584,0,0.96,0.971,0.968,0.948,0.961,0.88,0.95,0.969,0.984,0.651,0.186,0.256,0.29,0.362,0.839,1.014,0.145,0.248,0.68,0.18,0.26,0.31,0.36,0.94,1.08,0.51,0.15,1,1,0,42.01
5945,1159,6866,769,0,6323,1217,2633,507,0,4792,1487,5349,964,0,4860,1705,4047,1005,0,9816,1849,8577,1553,0,8509,1353,5483,1109,0,12784,1198,5672,797,0,8088,1627,8882,4047,0,3325,704,6107,524,0,4380,1134,2442,598,0,0.891,0.915,0.92,0.931,0.965,0.937,0.955,0.932,0.941,0.648,2.426,0.698,0.971,1.061,1.58,2.17,0.428,1.629,0.78,2.4,0.75,1.03,1.13,1.63,2.37,1.33,0.46,1,1,0,11.02.03.04
2123,1214,1648,674,0,3222,1153,4768,462,0,2920,1144,2862,575,0,2955,1305,3812,616,0,5557,1662,8287,1214,0,2414,1613,2493,1432,0,2293,1038,1836,629,0,9620,1727,8351,3576,0,1963,662,3851,562,0,1946,820,3551,491,0,0.912,0.936,0.943,0.978,0.966,0.92,0.964,0.918,0.921,0.932,0.452,0.733,0.523,0.531,0.729,1.028,0.338,0.332,0.93,0.48,0.77,0.51,0.55,0.75,1.03,1.65,0.39,1,1,1,20.03
2409,1073,2105,558,0,2229,1101,2720,428,0,2337,1398,2256,837,0,2843,1872,2234,1110,0,3545,1559,2961,1075,0,2795,1121,1946,834,0,4020,1010,2338,663,0,4138,1320,5159,3628,0,2454,605,5907,485,0,2368,951,4239,609,0,0.929,0.936,0.931,0.882,0.943,0.916,0.945,0.935,0.949,0.798,0.463,0.576,0.81,1.012,1.39,1.618,0.312,0.359,0.86,0.49,0.66,0.86,1.05,1.5,1.79,1.84,0.34,1,1,0,16.19.03
1589,1062,1147,544,0,1951,1134,994,486,0,1753,1338,1002,708,0,2361,1574,1347,894,0,1912,1333,1177,901,0,1661,1216,1227,938,0,1694,985,1169,710,0,1584,1124,3644,3213,0,671,389,474,285,0,1259,885,534,375,0,0.846,0.945,0.816,0.811,0.744,0.763,0.929,0.877,0.903,0.787,1.784,1.301,1.781,2.22,1.574,1.647,1.815,2.781,0.87,1.6,1.41,1.73,2.09,1.53,1.54,1.06,1.49,1,1,1,14.10
6905,1487,5962,742,0,4853,1222,6954,530,0,4824,1241,8429,718,0,7184,2110,15455,1561,0,8069,1964,27698,2080,0,4601,1785,18674,1764,0,2948,1178,13724,1135,0,3908,1265,14715,3238,0,2560,638,6334,482,0,2910,859,8194,455,0,0.956,0.949,0.95,0.96,0.921,0.949,0.938,0.981,0.967,1.031,0.514,0.438,0.341,0.213,0.148,0.128,0.316,0.243,1.03,0.56,0.46,0.36,0.23,0.16,0.14,0.23,0.32,1,1,0,16.01
1191,991,695,502,0,1352,1124,696,477,0,1433,1192,776,610,0,1805,1549,1115,988,0,1544,1257,1022,828,0,1196,1025,911,763,0,1012,898,705,574,0,4762,1423,6844,3576,0,623,523,516,430,0,937,770,540,420,0,0.018,0.745,0.246,0.251,0.463,-0.013,-0.134,0.328,0.195,0.019,0.716,0.396,0.53,0.599,-0.014,-0.125,0.296,0.254,1.03,1.04,1.45,2.01,1.47,1.15,0.87,1.02,1.16,1,1,0,11.02.03.04
